                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   11017181 |    3107979 |    3082337 |    2890531 |    3264159 |    3112315 |    2679284 |    3080219 |    3070601 |    2992127 |    3208972 |    3202911
  Cycles                             |   11106800 |   11106800 |    8330100 |   11106800 |   11106800 |   11106800 |   11106800 |    8330100 |   11106800 |   11106800 |    8330100 |    8330100
  IPC                                |       0.99 |       0.28 |       0.37 |       0.26 |       0.29 |       0.28 |       0.24 |       0.37 |       0.28 |       0.27 |       0.39 |       0.38
  Time (ns)                          |    2776700 |    2776700 |    2776700 |    2776700 |    2776700 |    2776700 |    2776700 |    2776700 |    2776700 |    2776700 |    2776700 |    2776700
  Idle time (ns)                     |       1568 |    2268821 |    2259130 |    2269490 |    2269571 |    2269342 |    2269778 |    2259742 |    2269768 |    2269748 |    2257828 |    2257940
  Idle time (%)                      |       0.1% |      81.7% |      81.4% |      81.7% |      81.7% |      81.7% |      81.7% |      81.4% |      81.7% |      81.7% |      81.3% |      81.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1337380 |     986624 |     981358 |     898266 |    1052326 |     990237 |     808253 |     981852 |     971839 |     938458 |    1029139 |    1024699
  num incorrect                      |      74413 |       4734 |       4226 |       7609 |       2615 |       4578 |      10568 |       4179 |       5288 |       6249 |       3612 |       3868
  misprediction rate                 |      5.27% |      0.48% |      0.43% |      0.84% |      0.25% |      0.46% |      1.29% |      0.42% |      0.54% |      0.66% |      0.35% |      0.38%
  mpki                               |       6.75 |       1.52 |       1.37 |       2.63 |       0.80 |       1.47 |       3.94 |       1.36 |       1.72 |       2.09 |       1.13 |       1.21
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1634214 |      39721 |      36704 |      55118 |      26257 |      37703 |      76510 |      36090 |      42903 |      50925 |      31602 |      34029
    num misses                       |        173 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26 |         26 |         25 |         25
    miss rate                        |      0.01% |      0.07% |      0.07% |      0.05% |      0.10% |      0.07% |      0.03% |      0.07% |      0.06% |      0.05% |      0.08% |      0.07%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2673444 |     586243 |     579880 |     564203 |     601678 |     586141 |     543701 |     578069 |     582483 |     573763 |     596601 |     597228
    num misses                       |       1582 |        135 |        125 |        174 |        114 |        116 |        135 |        132 |        128 |        168 |        112 |        112
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.14 |       0.04 |       0.04 |       0.06 |       0.03 |       0.04 |       0.05 |       0.04 |       0.04 |       0.06 |       0.03 |       0.03
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1755 |        161 |        151 |        200 |        140 |        144 |        161 |        158 |        154 |        194 |        137 |        137
    num misses                       |        587 |        130 |        127 |        128 |        128 |        129 |        131 |        134 |        129 |        135 |        122 |        121
    miss rate                        |     33.45% |     80.75% |     84.11% |     64.00% |     91.43% |     89.58% |     81.37% |     84.81% |     83.77% |     69.59% |     89.05% |     88.32%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1634214 |      39721 |      36704 |      55118 |      26257 |      37703 |      76510 |      36090 |      42903 |      50925 |      31602 |      34029
    num cache misses                 |       2819 |        172 |        177 |        173 |        171 |        179 |        172 |        171 |        171 |        171 |        171 |        169
    miss rate                        |      0.17% |      0.43% |      0.48% |      0.31% |      0.65% |      0.47% |      0.22% |      0.47% |      0.40% |      0.34% |      0.54% |      0.50%
    mpki                             |       0.26 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2673444 |     586243 |     579880 |     564203 |     601678 |     586141 |     543701 |     578069 |     582483 |     573763 |     596601 |     597228
    num cache misses                 |      34190 |       8930 |       8901 |       9218 |       8823 |       9028 |       9336 |       8884 |       8957 |       9042 |       8742 |       8692
    miss rate                        |      1.28% |      1.52% |      1.53% |      1.63% |      1.47% |      1.54% |      1.72% |      1.54% |      1.54% |      1.58% |      1.47% |      1.46%
    mpki                             |       3.10 |       2.87 |       2.89 |       3.19 |       2.70 |       2.90 |       3.48 |       2.88 |       2.92 |       3.02 |       2.72 |       2.71
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39164 |       9203 |       9162 |       9541 |       9053 |       9488 |       9886 |       9310 |       9406 |       9503 |       9214 |       9169
    num cache misses                 |      25855 |       8715 |       8672 |       8853 |       8615 |       8752 |       8911 |       8639 |       8659 |       8702 |       8502 |       8507
    miss rate                        |     66.02% |     94.70% |     94.65% |     92.79% |     95.16% |     92.24% |     90.14% |     92.79% |     92.06% |     91.57% |     92.27% |     92.78%
    mpki                             |       2.35 |       2.80 |       2.81 |       3.06 |       2.64 |       2.81 |       3.33 |       2.80 |       2.82 |       2.91 |       2.65 |       2.66
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      28525 |       8816 |       8755 |       9002 |       8675 |       9033 |       9289 |       8894 |       8937 |       8992 |       8802 |       8816
    num cache misses                 |      22289 |       5285 |       5254 |       5350 |       5235 |       5741 |       5911 |       5519 |       5737 |       5734 |       7662 |       7600
    miss rate                        |     78.14% |     59.95% |     60.01% |     59.43% |     60.35% |     63.56% |     63.63% |     62.05% |     64.19% |     63.77% |     87.05% |     86.21%
    mpki                             |       2.02 |       1.70 |       1.70 |       1.85 |       1.60 |       1.84 |       2.21 |       1.79 |       1.87 |       1.92 |       2.39 |       2.37
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       7453 |          0 |          0 |          0 |          0 |       7413 |          0 |          0 |          0 |          0 |       7446 |          0
  average dram access latency (ns)   |      61.37 |        inf |        inf |        inf |        inf |      61.37 |        inf |        inf |        inf |        inf |      61.36 |        inf
  average dram queueing delay        |       0.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.11 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10242 |        100 |         75 |        103 |         81 |         81 |         92 |         96 |         72 |         66 |        203 |        124
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1445 |       1359 |       1287 |       1390 |       1317 |       1730 |       1793 |       1576 |       1658 |       1699 |        852 |        856
