                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  486290897 |  502503417 |  494406546 |  486747378
  Cycles                             |  610317600 |  610317600 |  610317600 |  610317600
  IPC                                |       0.80 |       0.82 |       0.81 |       0.80
  Time (ns)                          |  152579400 |  152579400 |  152579400 |  152579400
  Idle time (ns)                     |     586649 |     502735 |     359612 |     254886
  Idle time (%)                      |       0.4% |       0.3% |       0.2% |       0.2%
Branch predictor stats               |            |            |            |           
  num correct                        |   29516360 |   35685290 |   33035929 |   30483877
  num incorrect                      |      16598 |       9904 |       9803 |       9905
  misprediction rate                 |      0.06% |      0.03% |      0.03% |      0.03%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   51256581 |   50882362 |   50854988 |   50854680
    num misses                       |        214 |         28 |         28 |         29
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  262893093 |  264646395 |  263228347 |  261951277
    num misses                       |     146825 |     144554 |     144559 |     144115
    miss rate                        |      0.06% |      0.05% |      0.05% |      0.06%
    mpki                             |       0.30 |       0.29 |       0.29 |       0.30
  L2 TLB                             |            |            |            |           
    num accesses                     |     147039 |     144582 |     144587 |     144144
    num misses                       |     101407 |     100408 |     100043 |      99758
    miss rate                        |     68.97% |     69.45% |     69.19% |     69.21%
    mpki                             |       0.21 |       0.20 |       0.20 |       0.20
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   51256581 |   50882362 |   50854988 |   50854680
    num cache misses                 |      45069 |      30714 |      30884 |      30793
    miss rate                        |      0.09% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.09 |       0.06 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  262893093 |  264646395 |  263228347 |  261951277
    num cache misses                 |   10582436 |   10635075 |   10618079 |   10619104
    miss rate                        |      4.03% |      4.02% |      4.03% |      4.05%
    mpki                             |      21.76 |      21.16 |      21.48 |      21.82
  Cache L2                           |            |            |            |           
    num cache accesses               |   11476518 |   11498958 |   11484511 |   11481132
    num cache misses                 |    7786623 |    7743467 |    7728249 |    7716981
    miss rate                        |     67.85% |     67.34% |     67.29% |     67.21%
    mpki                             |      16.01 |      15.41 |      15.63 |      15.85
  Cache L3                           |            |            |            |           
    num cache accesses               |    8637493 |    8577325 |    8564423 |    8548782
    num cache misses                 |    5192291 |    5181855 |    5188775 |    5198392
    miss rate                        |     60.11% |     60.41% |     60.59% |     60.81%
    mpki                             |      10.68 |      10.31 |      10.49 |      10.68
DRAM summary                         |            |            |            |           
  num dram accesses                  |   30159226 |          0 |          0 |          0
  average dram access latency (ns)   |    4783.73 |        inf |        inf |        inf
  average dram queueing delay        |    4722.48 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     24.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |    3722754 |    3728798 |    3754812 |    3767423
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
