                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9653852 |    4579048 |  340125242 |   84314282 |  195138087 |  198773614 |  732784274 |  712477230 |    4545443
  Cycles                             |  611760800 |  611760800 |  611760800 |  464094400 |  611760800 |  464094400 |  611760800 |  611760800 |  611760800
  IPC                                |       0.02 |       0.01 |       0.56 |       0.18 |       0.32 |       0.43 |       1.20 |       1.16 |       0.01
  Time (ns)                          |  210952000 |  210952000 |  210952000 |  210952000 |  210952000 |  210952000 |  210952000 |  210952000 |  210952000
  Idle time (ns)                     |  208061196 |  208774829 |   13223110 |  161086697 |  181335129 |  174937030 |    6515795 |    9091322 |  209418611
  Idle time (%)                      |      98.6% |      99.0% |       6.3% |      76.4% |      86.0% |      82.9% |       3.1% |       4.3% |      99.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1275515 |     203644 |   17107706 |    4237260 |     298660 |     304710 |   87256289 |   85492278 |     463174
  num incorrect                      |       7586 |        729 |       3466 |        896 |       5105 |       5050 |    4036771 |    4069470 |       8293
  misprediction rate                 |      0.59% |      0.36% |      0.02% |      0.02% |      1.68% |      1.63% |      4.42% |      4.54% |      1.76%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.03 |       0.03 |       5.51 |       5.71 |       1.82
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1524593 |     430466 |   25709323 |    6367447 |   10982307 |   11189732 |   83455195 |   81402645 |     615824
    num misses                       |        112 |         35 |         35 |         32 |         37 |         39 |         47 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4811980 |    3961014 |  229316145 |   56848728 |   45641494 |   46505327 |  359090323 |  344363143 |    2491121
    num misses                       |      12203 |       5339 |       2252 |        589 |       4339 |       4317 |      41162 |      40263 |       3358
    miss rate                        |      0.25% |      0.13% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.13%
    mpki                             |       1.26 |       1.17 |       0.01 |       0.01 |       0.02 |       0.02 |       0.06 |       0.06 |       0.74
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |      12315 |       5374 |       2287 |        621 |       4376 |       4356 |      41209 |      40303 |       3399
    num misses                       |       3286 |       5324 |       2281 |        618 |       3345 |       3348 |       3942 |       3655 |       2025
    miss rate                        |     26.68% |     99.07% |     99.74% |     99.52% |     76.44% |     76.86% |      9.57% |      9.07% |     59.58%
    mpki                             |       0.34 |       1.16 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.45
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1524593 |     430466 |   25709323 |    6367447 |   10982307 |   11189732 |   83455195 |   81402645 |     615824
    num cache misses                 |       1828 |        459 |        956 |        615 |       1442 |       4266 |      34189 |      33772 |        494
    miss rate                        |      0.12% |      0.11% |      0.00% |      0.01% |      0.01% |      0.04% |      0.04% |      0.04% |      0.08%
    mpki                             |       0.19 |       0.10 |       0.00 |       0.01 |       0.01 |       0.02 |       0.05 |       0.05 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4811980 |    3961014 |  229316145 |   56848728 |   45641494 |   46505327 |  359090323 |  344363143 |    2491121
    num cache misses                 |     169214 |     334384 |     145556 |      36310 |      93744 |      95997 |    5131132 |    4876324 |      20239
    miss rate                        |      3.52% |      8.44% |      0.06% |      0.06% |      0.21% |      0.21% |      1.43% |      1.42% |      0.81%
    mpki                             |      17.53 |      73.02 |       0.43 |       0.43 |       0.48 |       0.48 |       7.00 |       6.84 |       4.45
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     237461 |     434116 |     148281 |      37305 |      97766 |     103094 |    5168826 |    4913664 |      23972
    num cache misses                 |     158799 |     333505 |     144841 |      36429 |      94347 |      98464 |     189485 |     180735 |      16204
