                                     | Core 0     | Core 1    
  Instructions                       |   12328267 |    3953114
  Cycles                             |   10483200 |   10483200
  IPC                                |       1.18 |       0.38
  Time (ns)                          |    3494400 |    3494400
  Idle time (ns)                     |       1597 |    2280273
  Idle time (%)                      |       0.0% |      65.3%
Branch predictor stats               |            |           
  num correct                        |    1552759 |    1008081
  num incorrect                      |      98997 |      31769
  misprediction rate                 |      5.99% |      3.06%
  mpki                               |       8.03 |       8.04
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1592674 |     278814
    num misses                       |        169 |         26
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3208497 |    1082256
    num misses                       |       1445 |        193
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.12 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       1614 |        219
    num misses                       |        582 |        154
    miss rate                        |     36.06% |     70.32%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1592674 |     278814
    num cache misses                 |       3080 |        222
    miss rate                        |      0.19% |      0.08%
    mpki                             |       0.25 |       0.06
  Cache L1-D                         |            |           
    num cache accesses               |    3208497 |    1082256
    num cache misses                 |      58224 |      35184
    miss rate                        |      1.81% |      3.25%
    mpki                             |       4.72 |       8.90
  Cache L2                           |            |           
    num cache accesses               |      63334 |      35412
    num cache misses                 |      45566 |      28472
    miss rate                        |     71.95% |     80.40%
    mpki                             |       3.70 |       7.20
  Cache L3                           |            |           
    num cache accesses               |      47674 |      28498
    num cache misses                 |      17920 |       2041
    miss rate                        |     37.59% |      7.16%
    mpki                             |       1.45 |       0.52
DRAM summary                         |            |           
  num dram accesses                  |      19947 |          0
  average dram access latency (ns)   |      61.59 |        inf
  average dram queueing delay        |       0.34 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11010 |        893
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
