                                     | Core 0     | Core 1    
  Instructions                       |  278881739 |  280500302
  Cycles                             |   93036060 |   93036060
  IPC                                |       3.00 |       3.01
  Time (ns)                          |   32081400 |   32081400
  Idle time (ns)                     |        293 |     255275
  Idle time (%)                      |       0.0% |       0.8%
Branch predictor stats               |            |           
  num correct                        |    1387242 |    2145633
  num incorrect                      |      17462 |      10063
  misprediction rate                 |      1.24% |      0.47%
  mpki                               |       0.06 |       0.04
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   26428271 |   26263256
    num misses                       |        239 |         38
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  128515951 |  128446969
    num misses                       |      21233 |      16472
    miss rate                        |      0.02% |      0.01%
    mpki                             |       0.08 |       0.06
  L2 TLB                             |            |           
    num accesses                     |      21472 |      16510
    num misses                       |        527 |        164
    miss rate                        |      2.45% |      0.99%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   26428271 |   26263256
    num cache misses                 |      81953 |      57555
    miss rate                        |      0.31% |      0.22%
    mpki                             |       0.29 |       0.21
  Cache L1-D                         |            |           
    num cache accesses               |  128515951 |  128446969
    num cache misses                 |     769741 |     727759
    miss rate                        |      0.60% |      0.57%
    mpki                             |       2.76 |       2.59
  Cache L2                           |            |           
    num cache accesses               |     875131 |     805083
    num cache misses                 |      60160 |      52755
    miss rate                        |      6.87% |      6.55%
    mpki                             |       0.22 |       0.19
  Cache L3                           |            |           
    num cache accesses               |     109330 |      96912
    num cache misses                 |      13793 |       3395
    miss rate                        |     12.62% |      3.50%
    mpki                             |       0.05 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |      17163 |          0
  average dram access latency (ns)   |      63.01 |        inf
  average dram queueing delay        |       1.76 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6820 |         39
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
