                                     | Core 0       | Core 1     
  Instructions                       |  10443946286 |  9210905604
  Cycles                             |   4572045170 |  3468448060
  IPC                                |         2.28 |        2.66
  Time (ns)                          |   1576567300 |  1576567300
  Idle time (ns)                     |     45022721 |      894255
  Idle time (%)                      |         2.9% |        0.1%
Branch predictor stats               |              |            
  num correct                        |    449032851 |    38373430
  num incorrect                      |       150453 |      136336
  misprediction rate                 |        0.03% |       0.35%
  mpki                               |         0.01 |        0.01
TLB Summary                          |              |            
  I-TLB                              |              |            
    num accesses                     |    867707369 |   867446178
    num misses                       |          284 |          38
    miss rate                        |        0.00% |       0.00%
    mpki                             |         0.00 |        0.00
  D-TLB                              |              |            
    num accesses                     |   4445437507 |  4239371666
    num misses                       |      5230857 |     5187340
    miss rate                        |        0.12% |       0.12%
    mpki                             |         0.50 |        0.56
  L2 TLB                             |              |            
    num accesses                     |      5231141 |     5187378
    num misses                       |       116764 |      121793
    miss rate                        |        2.23% |       2.35%
    mpki                             |         0.01 |        0.01
Cache Summary                        |              |            
  Cache L1-I                         |              |            
    num cache accesses               |    867707369 |   867446178
    num cache misses                 |       265345 |      435001
    miss rate                        |        0.03% |       0.05%
    mpki                             |         0.03 |        0.05
  Cache L1-D                         |              |            
    num cache accesses               |   4445437507 |  4239371666
    num cache misses                 |     28918335 |    48447008
    miss rate                        |        0.65% |       1.14%
    mpki                             |         2.77 |        5.26
  Cache L2                           |              |            
    num cache accesses               |     30129933 |    49828639
    num cache misses                 |      3307903 |    18715662
    miss rate                        |       10.98% |      37.56%
    mpki                             |         0.32 |        2.03
  Cache L3                           |              |            
    num cache accesses               |      4819211 |    19663091
    num cache misses                 |      1609127 |     1602239
    miss rate                        |       33.39% |       8.15%
    mpki                             |         0.15 |        0.17
DRAM summary                         |              |            
  num dram accesses                  |        25278 |       25251
  average dram access latency (ns)   |        61.49 |       61.50
  average dram queueing delay        |         0.24 |        0.25
  average dram bandwidth utilization |        0.00% |       0.00%
Coherency Traffic                    |              |            
  num loads from dram                |         6973 |        4323
  num loads from dram cache          |            0 |           0
  num loads from remote cache        |      1565037 |     1571304
