                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45154189 |    6504479 |    5472713 |    6258939 |    6533661 |    6360155
  Cycles                             |   33858000 |   33858000 |   33858000 |   33858000 |   33858000 |   33858000
  IPC                                |       1.33 |       0.19 |       0.16 |       0.18 |       0.19 |       0.19
  Time (ns)                          |    8464500 |    8464500 |    8464500 |    8464500 |    8464500 |    8464500
  Idle time (ns)                     |      50324 |    6937330 |    6898137 |    6896962 |    6938191 |    6964415
  Idle time (%)                      |       0.6% |      82.0% |      81.5% |      81.5% |      82.0% |      82.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5042765 |    1794676 |    1326536 |    1655845 |    1807198 |    1765800
  num incorrect                      |     346480 |      36009 |      56771 |      45774 |      36139 |      33280
  misprediction rate                 |      6.43% |      1.97% |      4.10% |      2.69% |      1.96% |      1.85%
  mpki                               |       7.67 |       5.54 |      10.37 |       7.31 |       5.53 |       5.23
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    6881455 |     146625 |     167187 |     155402 |     145964 |     139528
    num misses                       |        176 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10441387 |    1618170 |    1538969 |    1619627 |    1622289 |    1577549
    num misses                       |      13249 |      11827 |      11976 |      12069 |      11948 |      11900
    miss rate                        |      0.13% |      0.73% |      0.78% |      0.75% |      0.74% |      0.75%
    mpki                             |       0.29 |       1.82 |       2.19 |       1.93 |       1.83 |       1.87
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13425 |      11853 |      12002 |      12095 |      11974 |      11926
    num misses                       |        873 |        342 |        344 |        328 |        331 |        332
    miss rate                        |      6.50% |      2.89% |      2.87% |      2.71% |      2.76% |      2.78%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    6881455 |     146625 |     167187 |     155402 |     145964 |     139528
    num cache misses                 |       3142 |        176 |        176 |        179 |        175 |        177
    miss rate                        |      0.05% |      0.12% |      0.11% |      0.12% |      0.12% |      0.13%
    mpki                             |       0.07 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10441387 |    1618170 |    1538969 |    1619627 |    1622289 |    1577549
    num cache misses                 |      99789 |      67472 |      68910 |      68202 |      67485 |      67555
    miss rate                        |      0.96% |      4.17% |      4.48% |      4.21% |      4.16% |      4.28%
    mpki                             |       2.21 |      10.37 |      12.59 |      10.90 |      10.33 |      10.62
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105831 |      68324 |      69979 |      70504 |      69651 |      69686
    num cache misses                 |      83516 |      59462 |      60162 |      60104 |      59425 |      59680
    miss rate                        |     78.91% |     87.03% |     85.97% |     85.25% |     85.32% |     85.64%
    mpki                             |       1.85 |       9.14 |      10.99 |       9.60 |       9.10 |       9.38
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      86752 |      60179 |      61102 |      62278 |      61455 |      61660
    num cache misses                 |      59306 |      35584 |      36030 |      37967 |      37330 |      37350
    miss rate                        |     68.36% |     59.13% |     58.97% |     60.96% |     60.74% |     60.57%
    mpki                             |       1.31 |       5.47 |       6.58 |       6.07 |       5.71 |       5.87
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      19756 |          0 |          0 |      19678 |          0 |          0
  average dram access latency (ns)   |      61.45 |        inf |        inf |      61.43 |        inf |        inf
  average dram queueing delay        |       0.20 |       0.00 |       0.00 |       0.18 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10892 |        675 |        675 |        492 |        482 |        481
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       9554 |       9342 |       9554 |      11268 |      10929 |      11065
