                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    miss rate                        |      5.75% |      5.82% |      5.83% |      5.61% |      5.74% |      5.81% |      5.83% |      5.87% |      5.72% |      5.86% |      5.78% |      5.78% |      5.78% |      5.78% |      6.00% |      5.74%
    mpki                             |      20.06 |      19.29 |      19.50 |      17.83 |      18.75 |      19.30 |      19.84 |      20.23 |      18.61 |      19.82 |      19.23 |      19.32 |      19.13 |      19.34 |      21.38 |      19.02
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     541097 |     493206 |     499777 |     475795 |     486592 |     489349 |     496347 |     496648 |     496331 |     511520 |     497673 |     500065 |     499055 |     498003 |     517789 |     477126
    num cache misses                 |      91390 |      82464 |      82957 |      82641 |      83251 |      82855 |      82972 |      82927 |      82847 |      82545 |      82831 |      82781 |      82875 |      82937 |      82730 |      82164
    miss rate                        |     16.89% |     16.72% |     16.60% |     17.37% |     17.11% |     16.93% |     16.72% |     16.70% |     16.69% |     16.14% |     16.64% |     16.55% |     16.61% |     16.65% |     15.98% |     17.22%
    mpki                             |       3.52 |       3.27 |       3.29 |       3.14 |       3.26 |       3.32 |       3.36 |       3.43 |       3.15 |       3.25 |       3.25 |       3.24 |       3.23 |       3.27 |       3.46 |       3.32
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     100880 |      89341 |      89990 |      89410 |      90071 |      89673 |      89783 |      89766 |      89682 |      90499 |      89691 |      89629 |      90132 |      89803 |      89669 |      88621
    num cache misses                 |      25814 |      10131 |      13546 |      14954 |      13138 |      13636 |      10695 |      14768 |      15281 |      15995 |      13542 |      12797 |      13587 |      13178 |      12835 |      11089
    miss rate                        |     25.59% |     11.34% |     15.05% |     16.73% |     14.59% |     15.21% |     11.91% |     16.45% |     17.04% |     17.67% |     15.10% |     14.28% |     15.07% |     14.67% |     14.31% |     12.51%
    mpki                             |       1.00 |       0.40 |       0.54 |       0.57 |       0.51 |       0.55 |       0.43 |       0.61 |       0.58 |       0.63 |       0.53 |       0.50 |       0.53 |       0.52 |       0.54 |       0.45
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      27754 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      17880 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    1215.16 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |    1859.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    1153.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |    1798.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       5272 |         43 |         41 |         40 |         36 |         34 |         35 |         31 |         40 |         36 |         33 |         38 |         34 |         32 |         33 |         33
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      11421 |       6231 |       9483 |      10985 |       9123 |       9972 |       6985 |      11269 |      10848 |      10923 |       9895 |       9128 |       9852 |       9214 |       9146 |       7616
