                                     | Core 0     | Core 1    
  Instructions                       |   21597321 |   17871466
  Cycles                             |   27697320 |   21011760
  IPC                                |       0.78 |       0.85
  Time (ns)                          |    9550800 |    9550800
  Idle time (ns)                     |        336 |     312467
  Idle time (%)                      |       0.0% |       3.3%
Branch predictor stats               |            |           
  num correct                        |    2275412 |    1378654
  num incorrect                      |      19615 |       8001
  misprediction rate                 |      0.85% |      0.58%
  mpki                               |       0.91 |       0.45
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1227244 |    1138123
    num misses                       |        131 |         23
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    7487258 |    6514404
    num misses                       |      28524 |      23678
    miss rate                        |      0.38% |      0.36%
    mpki                             |       1.32 |       1.32
  L2 TLB                             |            |           
    num accesses                     |      28655 |      23701
    num misses                       |        596 |        279
    miss rate                        |      2.08% |      1.18%
    mpki                             |       0.03 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1227244 |    1138123
    num cache misses                 |       1859 |        157
    miss rate                        |      0.15% |      0.01%
    mpki                             |       0.09 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |    7487258 |    6514404
    num cache misses                 |     158749 |     161760
    miss rate                        |      2.12% |      2.48%
    mpki                             |       7.35 |       9.05
  Cache L2                           |            |           
    num cache accesses               |     186862 |     185441
    num cache misses                 |      63948 |      52634
    miss rate                        |     34.22% |     28.38%
    mpki                             |       2.96 |       2.95
  Cache L3                           |            |           
    num cache accesses               |     100082 |      88694
    num cache misses                 |      13703 |       4265
    miss rate                        |     13.69% |      4.81%
    mpki                             |       0.63 |       0.24
DRAM summary                         |            |           
  num dram accesses                  |      17966 |          0
  average dram access latency (ns)   |     216.03 |        inf
  average dram queueing delay        |     154.78 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6637 |         73
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
