                                     | Core 0     | Core 1    
  Instructions                       |   48403519 |   10682683
  Cycles                             |   36359700 |   36359700
  IPC                                |       1.33 |       0.29
  Time (ns)                          |   36359700 |   36359700
  Idle time (ns)                     |       1260 |   25203544
  Idle time (%)                      |       0.0% |      69.3%
Branch predictor stats               |            |           
  num correct                        |    5264887 |    2414674
  num incorrect                      |     437570 |     113205
  misprediction rate                 |      7.67% |      4.48%
  mpki                               |       9.04 |      10.60
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    7752103 |     961971
    num misses                       |        173 |         28
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   12132238 |    3400204
    num misses                       |      37569 |      36061
    miss rate                        |      0.31% |      1.06%
    mpki                             |       0.78 |       3.38
  L2 TLB                             |            |           
    num accesses                     |      37742 |      36089
    num misses                       |        967 |        490
    miss rate                        |      2.56% |      1.36%
    mpki                             |       0.02 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    7752103 |     961971
    num cache misses                 |       4066 |        442
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.08 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |   12132238 |    3400204
    num cache misses                 |     195609 |     162395
    miss rate                        |      1.61% |      4.78%
    mpki                             |       4.04 |      15.20
  Cache L2                           |            |           
    num cache accesses               |     201780 |     162841
    num cache misses                 |     156017 |     126190
    miss rate                        |     77.32% |     77.49%
    mpki                             |       3.22 |      11.81
  Cache L3                           |            |           
    num cache accesses               |     158165 |     126194
    num cache misses                 |      30918 |       7989
    miss rate                        |     19.55% |      6.33%
    mpki                             |       0.64 |       0.75
DRAM summary                         |            |           
  num dram accesses                  |      38893 |          0
  average dram access latency (ns)   |      61.30 |        inf
  average dram queueing delay        |       0.05 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      16650 |       6632
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
