                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
    mpki                             |       4.25 |       4.08 |       4.11 |       4.12 |       4.36 |       4.60 |       4.33 |       4.68 |       2.24 |       2.13 |       2.11 |       2.23
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1081185 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |    1077802 |          0 |          0 |          0
  average dram access latency (ns)   |     546.25 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |     538.93 |        inf |        inf |        inf
  average dram queueing delay        |     485.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |     477.68 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |     120735 |     116094 |     116446 |     115283 |     116785 |     119349 |     116683 |     119208 |      30048 |      29600 |      29252 |      30214
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      60968 |      59812 |      62651 |      61537 |      55818 |      53483 |      52977 |      55074 |     100509 |      98729 |      97222 |      99309
