                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11843292 |    3558529 |    3187353 |    3658194
  Cycles                             |    9954400 |    9954400 |    9954400 |    9954400
  IPC                                |       1.19 |       0.36 |       0.32 |       0.37
  Time (ns)                          |    2488600 |    2488600 |    2488600 |    2488600
  Idle time (ns)                     |       1572 |    1844448 |    1844688 |    1844506
  Idle time (%)                      |       0.1% |      74.1% |      74.1% |      74.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    1428312 |    1045156 |     889706 |    1084216
  num incorrect                      |      86190 |      14239 |      19462 |      13058
  misprediction rate                 |      5.69% |      1.34% |      2.14% |      1.19%
  mpki                               |       7.28 |       4.00 |       6.11 |       3.57
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1309225 |     107161 |     140278 |     103922
    num misses                       |        174 |         26 |         26 |         27
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2648603 |     786514 |     750382 |     796822
    num misses                       |       1439 |        164 |        165 |        154
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.12 |       0.05 |       0.05 |       0.04
  L2 TLB                             |            |            |            |           
    num accesses                     |       1613 |        190 |        191 |        181
    num misses                       |        594 |        150 |        149 |        139
    miss rate                        |     36.83% |     78.95% |     78.01% |     76.80%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1309225 |     107161 |     140278 |     103922
    num cache misses                 |       2981 |        188 |        187 |        193
    miss rate                        |      0.23% |      0.18% |      0.13% |      0.19%
    mpki                             |       0.25 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2648603 |     786514 |     750382 |     796822
    num cache misses                 |      46492 |      22950 |      23250 |      22854
    miss rate                        |      1.76% |      2.92% |      3.10% |      2.87%
    mpki                             |       3.93 |       6.45 |       7.29 |       6.25
  Cache L2                           |            |            |            |           
    num cache accesses               |      51796 |      23423 |      24285 |      23793
    num cache misses                 |      36878 |      20545 |      20785 |      20509
    miss rate                        |     71.20% |     87.71% |     85.59% |     86.20%
    mpki                             |       3.11 |       5.77 |       6.52 |       5.61
  Cache L3                           |            |            |            |           
    num cache accesses               |      39342 |      20856 |      21636 |      21262
    num cache misses                 |      30168 |      13430 |      14540 |      14284
    miss rate                        |     76.68% |     64.39% |     67.20% |     67.18%
    mpki                             |       2.55 |       3.77 |       4.56 |       3.90
DRAM summary                         |            |            |            |           
  num dram accesses                  |      10425 |          0 |      10375 |          0
  average dram access latency (ns)   |      61.43 |        inf |      61.40 |        inf
  average dram queueing delay        |       0.18 |       0.00 |       0.15 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10336 |        238 |        147 |        160
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       2995 |       2976 |       3901 |       3710
