                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   49406062 |    8605575 |    8729513 |    8044632 |    8687548 |    8057605 |    8641684 |    8390433
  Cycles                             |   34978000 |   34978000 |   34978000 |   34978000 |   34978000 |   34978000 |   34978000 |   34978000
  IPC                                |       1.41 |       0.25 |       0.25 |       0.23 |       0.25 |       0.23 |       0.25 |       0.24
  Time (ns)                          |    8744500 |    8744500 |    8744500 |    8744500 |    8744500 |    8744500 |    8744500 |    8744500
  Idle time (ns)                     |      81112 |    7266917 |    7243181 |    7141791 |    7140934 |    7333972 |    7220712 |    7271890
  Idle time (%)                      |       0.9% |      83.1% |      82.8% |      81.7% |      81.7% |      83.9% |      82.6% |      83.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    5462827 |    2496331 |    2519336 |    2086035 |    2373406 |    2369955 |    2469830 |    2430539
  num incorrect                      |     359296 |      25628 |      27859 |      51993 |      42753 |      19607 |      29721 |      25653
  misprediction rate                 |      6.17% |      1.02% |      1.09% |      2.43% |      1.77% |      0.82% |      1.19% |      1.04%
  mpki                               |       7.27 |       2.98 |       3.19 |       6.46 |       4.92 |       2.43 |       3.44 |       3.06
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    6581268 |     165576 |     178644 |     269612 |     240540 |     136817 |     187355 |     158204
    num misses                       |        172 |         24 |         24 |         24 |         24 |         26 |         24 |         24
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.02%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   11297519 |    1861693 |    1890723 |    1887318 |    1959644 |    1736889 |    1888346 |    1820221
    num misses                       |      14027 |      12080 |      12124 |      12210 |      12126 |      12151 |      12118 |      12125
    miss rate                        |      0.12% |      0.65% |      0.64% |      0.65% |      0.62% |      0.70% |      0.64% |      0.67%
    mpki                             |       0.28 |       1.40 |       1.39 |       1.52 |       1.40 |       1.51 |       1.40 |       1.45
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      14199 |      12104 |      12148 |      12234 |      12150 |      12177 |      12142 |      12149
    num misses                       |       1807 |       1152 |       1122 |       1150 |       1133 |       1151 |       1135 |       1123
    miss rate                        |     12.73% |      9.52% |      9.24% |      9.40% |      9.33% |      9.45% |      9.35% |      9.24%
    mpki                             |       0.04 |       0.13 |       0.13 |       0.14 |       0.13 |       0.14 |       0.13 |       0.13
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    6581268 |     165576 |     178644 |     269612 |     240540 |     136817 |     187355 |     158204
    num cache misses                 |       3343 |        166 |        167 |        184 |        171 |        168 |        173 |        162
    miss rate                        |      0.05% |      0.10% |      0.09% |      0.07% |      0.07% |      0.12% |      0.09% |      0.10%
    mpki                             |       0.07 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   11297519 |    1861693 |    1890723 |    1887318 |    1959644 |    1736889 |    1888346 |    1820221
    num cache misses                 |     106787 |      57224 |      57189 |      61043 |      58687 |      56500 |      57746 |      56797
    miss rate                        |      0.95% |      3.07% |      3.02% |      3.23% |      2.99% |      3.25% |      3.06% |      3.12%
    mpki                             |       2.16 |       6.65 |       6.55 |       7.59 |       6.76 |       7.01 |       6.68 |       6.77
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     113424 |      58295 |      58323 |      62611 |      61179 |      58452 |      60025 |      58876
    num cache misses                 |      90681 |      50540 |      50548 |      51800 |      51611 |      50114 |      50930 |      50261
    miss rate                        |     79.95% |     86.70% |     86.67% |     82.73% |     84.36% |     85.74% |     84.85% |     85.37%
    mpki                             |       1.84 |       5.87 |       5.79 |       6.44 |       5.94 |       6.22 |       5.89 |       5.99
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      94985 |      51463 |      51547 |      53217 |      53967 |      51934 |      53077 |      52215
    num cache misses                 |      62680 |      28110 |      28237 |      29253 |      32619 |      31400 |      31893 |      31563
    miss rate                        |     65.99% |     54.62% |     54.78% |     54.97% |     60.44% |     60.46% |     60.09% |     60.45%
    mpki                             |       1.27 |       3.27 |       3.23 |       3.64 |       3.75 |       3.90 |       3.69 |       3.76
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      29031 |          0 |          0 |          0 |      28976 |          0 |          0 |          0
  average dram access latency (ns)   |     113.30 |        inf |        inf |        inf |     113.10 |        inf |        inf |        inf
  average dram queueing delay        |      52.05 |       0.00 |       0.00 |       0.00 |      51.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      11163 |        992 |        889 |        978 |        802 |        817 |        809 |        780
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8650 |       8055 |       8194 |       8504 |      10502 |       9914 |      10224 |      10132
