                                     | Core 0     | Core 1    
  Instructions                       |  378540226 |  384095469
  Cycles                             |  152933200 |  152933200
  IPC                                |       2.48 |       2.51
  Time (ns)                          |   38233300 |   38233300
  Idle time (ns)                     |       1192 |     315996
  Idle time (%)                      |       0.0% |       0.8%
Branch predictor stats               |            |           
  num correct                        |   19558860 |   21557177
  num incorrect                      |     158446 |     151521
  misprediction rate                 |      0.80% |      0.70%
  mpki                               |       0.42 |       0.39
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   35298282 |   35186782
    num misses                       |        211 |         25
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  123091243 |  123795027
    num misses                       |     108808 |     107845
    miss rate                        |      0.09% |      0.09%
    mpki                             |       0.29 |       0.28
  L2 TLB                             |            |           
    num accesses                     |     109019 |     107870
    num misses                       |      24867 |      23914
    miss rate                        |     22.81% |     22.17%
    mpki                             |       0.07 |       0.06
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   35298282 |   35186782
    num cache misses                 |      18173 |       7684
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.05 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |  123091243 |  123795027
    num cache misses                 |   13933196 |   13916012
    miss rate                        |     11.32% |     11.24%
    mpki                             |      36.81 |      36.23
  Cache L2                           |            |           
    num cache accesses               |   14148660 |   14118441
    num cache misses                 |    1607352 |    1588252
    miss rate                        |     11.36% |     11.25%
    mpki                             |       4.25 |       4.14
  Cache L3                           |            |           
    num cache accesses               |    2166035 |    2127573
    num cache misses                 |    1182349 |    1145635
    miss rate                        |     54.59% |     53.85%
    mpki                             |       3.12 |       2.98
DRAM summary                         |            |           
  num dram accesses                  |    4300434 |          0
  average dram access latency (ns)   |    1199.33 |        inf
  average dram queueing delay        |    1138.08 |       0.00
  average dram bandwidth utilization |     14.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |     713358 |     687822
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
