                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   56116575 |   56624241 |   56799854 |   56494210 |   55676549 |   55263731
  Cycles                             |   25988400 |   25988400 |   25988400 |   25988400 |   25988400 |   25988400
  IPC                                |       2.16 |       2.18 |       2.19 |       2.17 |       2.14 |       2.13
  Time (ns)                          |    6497100 |    6497100 |    6497100 |    6497100 |    6497100 |    6497100
  Idle time (ns)                     |     114311 |     296802 |     245092 |     235540 |     235636 |     236736
  Idle time (%)                      |       1.8% |       4.6% |       3.8% |       3.6% |       3.6% |       3.6%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    9482831 |    9679113 |   10116482 |    9956804 |    9413001 |    9361762
  num incorrect                      |      48436 |      39980 |      41713 |      42680 |      43179 |      40374
  misprediction rate                 |      0.51% |      0.41% |      0.41% |      0.43% |      0.46% |      0.43%
  mpki                               |       0.86 |       0.71 |       0.73 |       0.76 |       0.78 |       0.73
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2004816 |    1913861 |    1832118 |    1850339 |    1956672 |    1947736
    num misses                       |        223 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   20979826 |   20987149 |   20509421 |   20523606 |   20731660 |   20541188
    num misses                       |       4004 |       4621 |       6429 |       6544 |       4821 |       7473
    miss rate                        |      0.02% |      0.02% |      0.03% |      0.03% |      0.02% |      0.04%
    mpki                             |       0.07 |       0.08 |       0.11 |       0.12 |       0.09 |       0.14
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       4227 |       4648 |       6456 |       6571 |       4848 |       7500
    num misses                       |        599 |        236 |        232 |        229 |        248 |        220
    miss rate                        |     14.17% |      5.08% |      3.59% |      3.49% |      5.12% |      2.93%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2004816 |    1913861 |    1832118 |    1850339 |    1956672 |    1947736
    num cache misses                 |      12678 |        345 |        317 |        344 |        351 |        357
    miss rate                        |      0.63% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.23 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   20979826 |   20987149 |   20509421 |   20523606 |   20731660 |   20541188
    num cache misses                 |    1565398 |    1581113 |    1507211 |    1502925 |    1546387 |    1541781
    miss rate                        |      7.46% |      7.53% |      7.35% |      7.32% |      7.46% |      7.51%
    mpki                             |      27.90 |      27.92 |      26.54 |      26.60 |      27.77 |      27.90
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    1593661 |    1596187 |    1520698 |    1516731 |    1560747 |    1554847
    num cache misses                 |      87152 |      75014 |      77173 |      78119 |      77882 |      77675
    miss rate                        |      5.47% |      4.70% |      5.07% |      5.15% |      4.99% |      5.00%
    mpki                             |       1.55 |       1.32 |       1.36 |       1.38 |       1.40 |       1.41
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     104075 |      90158 |      90768 |      91586 |      92301 |      90783
    num cache misses                 |      25782 |      13299 |      15739 |      16821 |      36814 |      38829
    miss rate                        |     24.77% |     14.75% |     17.34% |     18.37% |     39.88% |     42.77%
    mpki                             |       0.46 |       0.23 |       0.28 |       0.30 |       0.66 |       0.70
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      22840 |          0 |          0 |          0 |      22816 |          0
  average dram access latency (ns)   |    1037.46 |        inf |        inf |        inf |    1041.08 |        inf
  average dram queueing delay        |     976.21 |       0.00 |       0.00 |       0.00 |     979.83 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6692 |         31 |         24 |         46 |         19 |         58
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7875 |       5965 |       8968 |       9910 |      28824 |      31483
