                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |  1399461049 |  1439376536 |  1440351798 |  1432423999 |  1490568937 |  1488530361
  Cycles                             |  1403849300 |  1403849300 |  1403849300 |  1403849300 |  1403849300 |  1403849300
  IPC                                |        1.00 |        1.03 |        1.03 |        1.02 |        1.06 |        1.06
  Time (ns)                          |  1403849300 |  1403849300 |  1403849300 |  1403849300 |  1403849300 |  1403849300
  Idle time (ns)                     |    13261884 |    12189019 |     8602958 |     3903470 |     7268282 |     6374226
  Idle time (%)                      |        0.9% |        0.9% |        0.6% |        0.3% |        0.5% |        0.5%
Branch predictor stats               |             |             |             |             |             |            
  num correct                        |   259267741 |   275785640 |   275879854 |   271182894 |   291165422 |   290644603
  num incorrect                      |      778180 |      812967 |      841941 |      853620 |      836776 |      798366
  misprediction rate                 |       0.30% |       0.29% |       0.30% |       0.31% |       0.29% |       0.27%
  mpki                               |        0.56 |        0.56 |        0.58 |        0.60 |        0.56 |        0.54
TLB Summary                          |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |            
    num accesses                     |    76493620 |    74895730 |    75105316 |    76561473 |    76523506 |    76631411
    num misses                       |         214 |          27 |          27 |          27 |          27 |          27
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |            
    num accesses                     |   495734769 |   498036346 |   498368117 |   499486953 |   508341450 |   507794700
    num misses                       |      463700 |      508586 |      732057 |      523080 |      466116 |      470004
    miss rate                        |       0.09% |       0.10% |       0.15% |       0.10% |       0.09% |       0.09%
    mpki                             |        0.33 |        0.35 |        0.51 |        0.37 |        0.31 |        0.32
  L2 TLB                             |             |             |             |             |             |            
    num accesses                     |      463914 |      508613 |      732084 |      523107 |      466143 |      470031
    num misses                       |      429966 |      422296 |      422676 |      426399 |      424718 |      422799
    miss rate                        |      92.68% |      83.03% |      57.74% |      81.51% |      91.11% |      89.95%
    mpki                             |        0.31 |        0.29 |        0.29 |        0.30 |        0.28 |        0.28
Cache Summary                        |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |            
    num cache accesses               |    76493620 |    74895730 |    75105316 |    76561473 |    76523506 |    76631411
    num cache misses                 |       52267 |       35799 |       35845 |       35294 |       35741 |       35226
    miss rate                        |       0.07% |       0.05% |       0.05% |       0.05% |       0.05% |       0.05%
    mpki                             |        0.04 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
  Cache L1-D                         |             |             |             |             |             |            
    num cache accesses               |   495734769 |   498036346 |   498368117 |   499486953 |   508341450 |   507794700
    num cache misses                 |   141293459 |   139009951 |   139008252 |   140171599 |   139589610 |   139253789
    miss rate                        |      28.50% |      27.91% |      27.89% |      28.06% |      27.46% |      27.42%
    mpki                             |      100.96 |       96.58 |       96.51 |       97.86 |       93.65 |       93.55
  Cache L2                           |             |             |             |             |             |            
    num cache accesses               |   141989703 |   139679698 |   139677622 |   140845438 |   140139382 |   139804932
    num cache misses                 |    28484123 |    28020454 |    28029983 |    28261296 |    26876002 |    26821092
    miss rate                        |      20.06% |      20.06% |      20.07% |      20.07% |      19.18% |      19.18%
    mpki                             |       20.35 |       19.47 |       19.46 |       19.73 |       18.03 |       18.02
  Cache L3                           |             |             |             |             |             |            
    num cache accesses               |    29145875 |    28671039 |    28679238 |    28914729 |    27407007 |    27351185
    num cache misses                 |    26046101 |    25620237 |    25607638 |    25825944 |    25502242 |    25470809
    miss rate                        |      89.36% |      89.36% |      89.29% |      89.32% |      93.05% |      93.13%
    mpki                             |       18.61 |       17.80 |       17.78 |       18.03 |       17.11 |       17.11
DRAM summary                         |             |             |             |             |             |            
  num dram accesses                  |    78942256 |           0 |           0 |           0 |    78946414 |           0
  average dram access latency (ns)   |       63.36 |         inf |         inf |         inf |       64.06 |         inf
  average dram queueing delay        |        2.10 |        0.00 |        0.00 |        0.00 |        2.81 |        0.00
  average dram bandwidth utilization |       7.00% |       0.00% |       0.00% |       0.00% |       7.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |            
  num loads from dram                |    25713179 |    25295600 |    25291117 |    25505942 |    25059848 |    24989172
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |       70343 |       74766 |       65294 |       73034 |      239503 |      267117
