                                     | Core 0     | Core 1    
  Instructions                       |  278886928 |  280550599
  Cycles                             |   97490800 |   97490800
  IPC                                |       2.86 |       2.88
  Time (ns)                          |   24372700 |   24372700
  Idle time (ns)                     |        385 |     248362
  Idle time (%)                      |       0.0% |       1.0%
Branch predictor stats               |            |           
  num correct                        |    1389199 |    2162586
  num incorrect                      |      17190 |       9855
  misprediction rate                 |      1.22% |      0.45%
  mpki                               |       0.06 |       0.04
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   26428276 |   26263256
    num misses                       |        205 |         38
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  128516786 |  128455308
    num misses                       |      10757 |       5257
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.04 |       0.02
  L2 TLB                             |            |           
    num accesses                     |      10962 |       5295
    num misses                       |        609 |        165
    miss rate                        |      5.56% |      3.12%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   26428276 |   26263256
    num cache misses                 |      76313 |      56365
    miss rate                        |      0.29% |      0.21%
    mpki                             |       0.27 |       0.20
  Cache L1-D                         |            |           
    num cache accesses               |  128516786 |  128455308
    num cache misses                 |    1849693 |    1827595
    miss rate                        |      1.44% |      1.42%
    mpki                             |       6.63 |       6.51
  Cache L2                           |            |           
    num cache accesses               |    1949339 |    1903730
    num cache misses                 |      60910 |      52761
    miss rate                        |      3.12% |      2.77%
    mpki                             |       0.22 |       0.19
  Cache L3                           |            |           
    num cache accesses               |     110060 |      96919
    num cache misses                 |      13823 |       3358
    miss rate                        |     12.56% |      3.46%
    mpki                             |       0.05 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |      17161 |          0
  average dram access latency (ns)   |      83.51 |        inf
  average dram queueing delay        |      22.26 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6831 |         39
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
