                                     | Core 0     | Core 1    
  Instructions                       |   14781959 |    5798489
  Cycles                             |   11770800 |   11770800
  IPC                                |       1.26 |       0.49
  Time (ns)                          |    2942700 |    2942700
  Idle time (ns)                     |       1514 |    1824046
  Idle time (%)                      |       0.1% |      62.0%
Branch predictor stats               |            |           
  num correct                        |    1975744 |    1566199
  num incorrect                      |     113107 |      46014
  misprediction rate                 |      5.41% |      2.85%
  mpki                               |       7.65 |       7.94
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1493732 |     157190
    num misses                       |        170 |         25
    miss rate                        |      0.01% |      0.02%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    3460340 |    1489282
    num misses                       |       3238 |       1728
    miss rate                        |      0.09% |      0.12%
    mpki                             |       0.22 |       0.30
  L2 TLB                             |            |           
    num accesses                     |       3408 |       1753
    num misses                       |        706 |        222
    miss rate                        |     20.72% |     12.66%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1493732 |     157190
    num cache misses                 |       2805 |        196
    miss rate                        |      0.19% |      0.12%
    mpki                             |       0.19 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    3460340 |    1489282
    num cache misses                 |      64960 |      38246
    miss rate                        |      1.88% |      2.57%
    mpki                             |       4.39 |       6.60
  Cache L2                           |            |           
    num cache accesses               |      69934 |      38442
    num cache misses                 |      44862 |      29669
    miss rate                        |     64.15% |     77.18%
    mpki                             |       3.03 |       5.12
  Cache L3                           |            |           
    num cache accesses               |      48153 |      29733
    num cache misses                 |      21140 |       3761
    miss rate                        |     43.90% |     12.65%
    mpki                             |       1.43 |       0.65
DRAM summary                         |            |           
  num dram accesses                  |      24889 |          0
  average dram access latency (ns)   |      61.92 |        inf
  average dram queueing delay        |       0.67 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11842 |       1654
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
