                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11606252 |    3467531 |    3081720 |    3548000
  Cycles                             |    8252400 |    8252400 |    8252400 |    8252400
  IPC                                |       1.41 |       0.42 |       0.37 |       0.43
  Time (ns)                          |    8252400 |    8252400 |    8252400 |    8252400
  Idle time (ns)                     |       1165 |    5822862 |    5823587 |    5823503
  Idle time (%)                      |       0.0% |      70.6% |      70.6% |      70.6%
Branch predictor stats               |            |            |            |           
  num correct                        |    1449605 |    1012508 |     852662 |    1045163
  num incorrect                      |      82903 |      13876 |      19550 |      12941
  misprediction rate                 |      5.41% |      1.35% |      2.24% |      1.22%
  mpki                               |       7.14 |       4.00 |       6.34 |       3.65
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1655497 |      56798 |      63173 |      55563
    num misses                       |        179 |         26 |         26 |         28
    miss rate                        |      0.01% |      0.05% |      0.04% |      0.05%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2893394 |     780583 |     741890 |     788586
    num misses                       |       1341 |        161 |        165 |        150
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.12 |       0.05 |       0.05 |       0.04
  L2 TLB                             |            |            |            |           
    num accesses                     |       1520 |        187 |        191 |        178
    num misses                       |        583 |        148 |        145 |        140
    miss rate                        |     38.36% |     79.14% |     75.92% |     78.65%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1655497 |      56798 |      63173 |      55563
    num cache misses                 |       3238 |        175 |        176 |        185
    miss rate                        |      0.20% |      0.31% |      0.28% |      0.33%
    mpki                             |       0.28 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2893394 |     780583 |     741890 |     788586
    num cache misses                 |      46552 |      23197 |      23441 |      22960
    miss rate                        |      1.61% |      2.97% |      3.16% |      2.91%
    mpki                             |       4.01 |       6.69 |       7.61 |       6.47
  Cache L2                           |            |            |            |           
    num cache accesses               |      51973 |      23379 |      23623 |      23151
    num cache misses                 |      38512 |      20765 |      20962 |      20618
    miss rate                        |     74.10% |     88.82% |     88.74% |     89.06%
    mpki                             |       3.32 |       5.99 |       6.80 |       5.81
  Cache L3                           |            |            |            |           
    num cache accesses               |      40837 |      20787 |      20979 |      20625
    num cache misses                 |      17588 |       1083 |       1122 |       1052
    miss rate                        |     43.07% |      5.21% |      5.35% |      5.10%
    mpki                             |       1.52 |       0.31 |       0.36 |       0.30
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20791 |          0 |          0 |          0
  average dram access latency (ns)   |      61.35 |        inf |        inf |        inf
  average dram queueing delay        |       0.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10808 |        521 |        543 |        529
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
