feature,importance
num_threads,0.2709677419354838
bench_class_enc,0.0
avg_ipc,0.1096774193548387
ipc_cv,0.2387096774193548
pe_ratio,0.15806451612903225
local_ratio,0.15483870967741933
remote_ratio,0.15161290322580645
l2_intensity,0.14193548387096777
l3_intensity,0.17419354838709675
mem_intensity,0.13548387096774195
read_ratio,0.1354838709677419
cpi_l3_ratio,0.14193548387096772
cpi_dram_local_ratio,0.2193548387096774
cpi_dram_remote_ratio,0.2
cpi_branch_ratio,0.2354838709677419
cpi_sync_ratio,0.21612903225806454
uop_load_ratio,0.04193548387096776
uop_store_ratio,0.0838709677419355
uop_fp_ratio,0.10000000000000002
dtlb_miss_rate,0.14193548387096774
branch_mispredict_rate,0.2096774193548387
avg_dram_latency,0.067741935483871
dram_queue_ratio,0.18387096774193545
l1d_hit_ratio,0.13225806451612904
futex_wake_per_minst,0.1290322580645161
mem_bw_mbps,0.08387096774193552
operational_intensity,0.06774193548387099
itlb_miss_rate,0.18387096774193548
stlb_miss_rate,0.18709677419354837
load_l1_ratio,0.16774193548387098
