                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   25132960 |    7145906 |    7404976 |    7363675 |    7186745 |    6446080
  Cycles                             |   18440000 |   18440000 |   18440000 |   18440000 |   18440000 |   18440000
  IPC                                |       1.36 |       0.39 |       0.40 |       0.40 |       0.39 |       0.35
  Time (ns)                          |    4610000 |    4610000 |    4610000 |    4610000 |    4610000 |    4610000
  Idle time (ns)                     |       2488 |    3526644 |    3479646 |    3492293 |    3471580 |    3472743
  Idle time (%)                      |       0.1% |      76.5% |      75.5% |      75.8% |      75.3% |      75.3%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2997293 |    2167617 |    2214156 |    2210821 |    2094059 |    1767714
  num incorrect                      |     179073 |      13914 |      18224 |      17188 |      23302 |      33359
  misprediction rate                 |      5.64% |      0.64% |      0.82% |      0.77% |      1.10% |      1.85%
  mpki                               |       7.13 |       1.95 |       2.46 |       2.33 |       3.24 |       5.18
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    3212424 |      91341 |     112906 |     102978 |     131305 |     165922
    num misses                       |        178 |         26 |         24 |         24 |         24 |         24
    miss rate                        |      0.01% |      0.03% |      0.02% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5894058 |    1456121 |    1521593 |    1507928 |    1512119 |    1431930
    num misses                       |       6653 |       5263 |       5309 |       5412 |       5316 |       5230
    miss rate                        |      0.11% |      0.36% |      0.35% |      0.36% |      0.35% |      0.37%
    mpki                             |       0.26 |       0.74 |       0.72 |       0.73 |       0.74 |       0.81
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       6831 |       5289 |       5333 |       5436 |       5340 |       5254
    num misses                       |        823 |        300 |        314 |        306 |        316 |        313
    miss rate                        |     12.05% |      5.67% |      5.89% |      5.63% |      5.92% |      5.96%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    3212424 |      91341 |     112906 |     102978 |     131305 |     165922
    num cache misses                 |       3098 |        163 |        157 |        157 |        156 |        157
    miss rate                        |      0.10% |      0.18% |      0.14% |      0.15% |      0.12% |      0.09%
    mpki                             |       0.12 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5894058 |    1456121 |    1521593 |    1507928 |    1512119 |    1431930
    num cache misses                 |      71659 |      36034 |      36462 |      36468 |      36935 |      38548
    miss rate                        |      1.22% |      2.47% |      2.40% |      2.42% |      2.44% |      2.69%
    mpki                             |       2.85 |       5.04 |       4.92 |       4.95 |       5.14 |       5.98
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      77698 |      36711 |      37253 |      37931 |      38576 |      40338
    num cache misses                 |      56519 |      32349 |      32566 |      32686 |      32883 |      33334
    miss rate                        |     72.74% |     88.12% |     87.42% |     86.17% |     85.24% |     82.64%
    mpki                             |       2.25 |       4.53 |       4.40 |       4.44 |       4.58 |       5.17
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      61095 |      32876 |      33234 |      34014 |      34389 |      34989
    num cache misses                 |      43209 |      18843 |      18985 |      21509 |      21659 |      21780
    miss rate                        |     70.72% |     57.32% |     57.13% |     63.24% |     62.98% |     62.25%
    mpki                             |       1.72 |       2.64 |       2.56 |       2.92 |       3.01 |       3.38
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      18103 |          0 |          0 |      18042 |          0 |          0
  average dram access latency (ns)   |      61.89 |        inf |        inf |      61.86 |        inf |        inf
  average dram queueing delay        |       0.64 |       0.00 |       0.00 |       0.61 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10826 |        548 |        592 |        496 |        457 |        491
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       5003 |       5023 |       5142 |       6663 |       6942 |       6881
