,Packed,Scatter,HPO,EPO
BC,0.0024547,0.0024297,0.0024567,0.0082672
BFS,0.002482,0.0024521,0.0024811,0.008328
BT,0.0153554,0.0153173,0.0153803,0.0627722
CC,0.0024894,0.0024678,0.0024883,0.008386
CG,0.0092725,0.0091295,0.0092673,0.0363966
FT,0.0210337,0.0179049,0.0209794,0.0674717
IS,0.0030036,0.0029196,0.0029261,0.0112322
MG,0.0015087,0.0014712,0.0015049,0.0055344
PR,0.0024595,0.0024329,0.0024633,0.0082524
SP,0.0087111,0.008665,0.008711,0.0352049
SSSP,0.0026602,0.0026304,0.0026588,0.0090455
TC,0.0024768,0.0024478,0.0024752,0.0083144
lavaMD,0.0001756,0.0001768,0.0001759,0.0003734
