                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   44544422 |    5856125 |    5899332 |    4827691 |    5216287 |    5636910 |    5900137 |    5822825
  Cycles                             |   29055900 |   29055900 |   29055900 |   29055900 |   29055900 |   29055900 |   29055900 |   29055900
  IPC                                |       1.53 |       0.20 |       0.20 |       0.17 |       0.18 |       0.19 |       0.20 |       0.20
  Time (ns)                          |   29055900 |   29055900 |   29055900 |   29055900 |   29055900 |   29055900 |   29055900 |   29055900
  Idle time (ns)                     |       1425 |   25344314 |   25300638 |   25247559 |   25246761 |   25560145 |   25247277 |   25386446
  Idle time (%)                      |       0.0% |      87.2% |      87.1% |      86.9% |      86.9% |      88.0% |      86.9% |      87.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    4908715 |    1680183 |    1685446 |    1215426 |    1378403 |    1640926 |    1673722 |    1676083
  num incorrect                      |     341114 |      26079 |      27155 |      45601 |      39947 |      20212 |      29885 |      24941
  misprediction rate                 |      6.50% |      1.53% |      1.59% |      3.62% |      2.82% |      1.22% |      1.75% |      1.47%
  mpki                               |       7.66 |       4.45 |       4.60 |       9.45 |       7.66 |       3.59 |       5.07 |       4.28
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    6850801 |     109232 |     108695 |     127659 |     125268 |     101106 |     112572 |     104271
    num misses                       |        176 |         26 |         28 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.02% |      0.03% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   10224476 |    1370701 |    1383006 |    1290114 |    1329857 |    1306301 |    1395967 |    1357742
    num misses                       |      10610 |       9138 |       9207 |       9190 |       9232 |       9236 |       9240 |       9184
    miss rate                        |      0.10% |      0.67% |      0.67% |      0.71% |      0.69% |      0.71% |      0.66% |      0.68%
    mpki                             |       0.24 |       1.56 |       1.56 |       1.90 |       1.77 |       1.64 |       1.57 |       1.58
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |      10786 |       9164 |       9235 |       9216 |       9258 |       9262 |       9266 |       9210
    num misses                       |        875 |        319 |        317 |        326 |        313 |        311 |        295 |        296
    miss rate                        |      8.11% |      3.48% |      3.43% |      3.54% |      3.38% |      3.36% |      3.18% |      3.21%
    mpki                             |       0.02 |       0.05 |       0.05 |       0.07 |       0.06 |       0.06 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    6850801 |     109232 |     108695 |     127659 |     125268 |     101106 |     112572 |     104271
    num cache misses                 |       3528 |        221 |        225 |        213 |        226 |        216 |        208 |        196
    miss rate                        |      0.05% |      0.20% |      0.21% |      0.17% |      0.18% |      0.21% |      0.18% |      0.19%
    mpki                             |       0.08 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   10224476 |    1370701 |    1383006 |    1290114 |    1329857 |    1306301 |    1395967 |    1357742
    num cache misses                 |      85198 |      52285 |      52248 |      53700 |      53073 |      52007 |      52549 |      52200
    miss rate                        |      0.83% |      3.81% |      3.78% |      4.16% |      3.99% |      3.98% |      3.76% |      3.84%
    mpki                             |       1.91 |       8.93 |       8.86 |      11.12 |      10.17 |       9.23 |       8.91 |       8.96
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      91523 |      52959 |      52956 |      54646 |      54999 |      53656 |      54309 |      53895
    num cache misses                 |      73728 |      46810 |      46822 |      47446 |      47424 |      46737 |      47042 |      46957
    miss rate                        |     80.56% |     88.39% |     88.42% |     86.82% |     86.23% |     87.10% |     86.62% |     87.13%
    mpki                             |       1.66 |       7.99 |       7.94 |       9.83 |       9.09 |       8.29 |       7.97 |       8.06
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      76886 |      47297 |      47340 |      48210 |      49157 |      48213 |      48613 |      48458
    num cache misses                 |      50764 |      26602 |      26481 |      27049 |      28619 |      27671 |      28145 |      28067
    miss rate                        |     66.03% |     56.24% |     55.94% |     56.11% |     58.22% |     57.39% |     57.90% |     57.92%
    mpki                             |       1.14 |       4.54 |       4.49 |       5.60 |       5.49 |       4.91 |       4.77 |       4.82
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      19867 |          0 |          0 |          0 |      19801 |          0 |          0 |          0
  average dram access latency (ns)   |      61.30 |        inf |        inf |        inf |      61.30 |        inf |        inf |        inf
  average dram queueing delay        |       0.05 |       0.00 |       0.00 |       0.00 |       0.05 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10812 |        560 |        533 |        512 |        440 |        418 |        398 |        397
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8037 |       7276 |       7371 |       7596 |       9015 |       8621 |       8766 |       8719
