                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   21442371 |    3751278 |    3995747 |    3986444 |    3616508 |    3925529 |    4033757 |    3793211 |    3759579 |    3668371 |    3125456 |    3697745
  Cycles                             |   57802800 |   57802800 |   57802800 |   57802800 |   14450700 |   14450700 |   57802800 |   57802800 |   57802800 |   57802800 |   14450700 |   14450700
  IPC                                |       0.37 |       0.06 |       0.07 |       0.07 |       0.25 |       0.27 |       0.07 |       0.07 |       0.07 |       0.06 |       0.22 |       0.26
  Time (ns)                          |   14450700 |   14450700 |   14450700 |   14450700 |   14450700 |   14450700 |   14450700 |   14450700 |   14450700 |   14450700 |   14450700 |   14450700
  Idle time (ns)                     |       1837 |   12544249 |   12545100 |   12545461 |   12515234 |   12515556 |   12545772 |   12546160 |   12545935 |   12546655 |   12516997 |   12517314
  Idle time (%)                      |       0.0% |      86.8% |      86.8% |      86.8% |      86.6% |      86.6% |      86.8% |      86.8% |      86.8% |      86.8% |      86.6% |      86.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2424105 |    1145656 |    1250821 |    1245812 |    1099286 |    1228383 |    1264473 |    1166304 |    1149976 |    1113123 |     889768 |    1132198
  num incorrect                      |     157985 |      10748 |       6998 |       7164 |      10981 |       6830 |       6859 |      10107 |      10742 |      11650 |      18890 |      10532
  misprediction rate                 |      6.12% |      0.93% |      0.56% |      0.57% |      0.99% |      0.55% |      0.54% |      0.86% |      0.93% |      1.04% |      2.08% |      0.92%
  mpki                               |       7.37 |       2.87 |       1.75 |       1.80 |       3.04 |       1.74 |       1.70 |       2.66 |       2.86 |       3.18 |       6.04 |       2.85
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3305516 |      86701 |      63380 |      65603 |      90277 |      62514 |      63837 |      79768 |      85533 |      93223 |     135215 |      82903
    num misses                       |        174 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.03% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5004825 |     765986 |     789520 |     789161 |     746746 |     775991 |     795436 |     769513 |     767773 |     757877 |     700728 |     755361
    num misses                       |       2526 |        825 |        754 |        819 |        757 |        765 |        783 |        825 |        804 |        752 |        788 |        747
    miss rate                        |      0.05% |      0.11% |      0.10% |      0.10% |      0.10% |      0.10% |      0.10% |      0.11% |      0.10% |      0.10% |      0.11% |      0.10%
    mpki                             |       0.12 |       0.22 |       0.19 |       0.21 |       0.21 |       0.19 |       0.19 |       0.22 |       0.21 |       0.20 |       0.25 |       0.20
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
