                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
  Instructions                       |  3938564096 |    56560717 |   111660130 |    56285927 |    55806874 |    56177746 |    56301250 |    56423581 |    56139120 |    56099000 |    55984358 |    56316499 |    55738996 |    56123248 |    56203818 |    56160634
  Cycles                             |  4267110170 |  3237118060 |  3237118060 |  4267110170 |  4267110170 |  3237118060 |  4267110170 |  3237118060 |  4267110170 |  4267110170 |  3237118060 |  4267110170 |  3237118060 |  4267110170 |  3237118060 |  3237118060
  IPC                                |        0.92 |        0.02 |        0.03 |        0.01 |        0.01 |        0.02 |        0.01 |        0.02 |        0.01 |        0.01 |        0.02 |        0.01 |        0.02 |        0.01 |        0.02 |        0.02
  Time (ns)                          |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300 |  1471417300
  Idle time (ns)                     |    46783372 |  1447719870 |  1424839515 |  1449318716 |  1449475504 |  1447937565 |  1449262306 |  1447840284 |  1449241166 |  1449250127 |  1447828806 |  1449096293 |  1447920695 |  1449192427 |  1447732683 |  1447754524
  Idle time (%)                      |        3.2% |       98.4% |       96.8% |       98.5% |       98.5% |       98.4% |       98.5% |       98.4% |       98.5% |       98.5% |       98.4% |       98.5% |       98.4% |       98.5% |       98.4% |       98.4%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |   169582877 |     1094149 |     2163444 |     1088594 |     1081669 |     1089311 |     1087567 |     1093109 |     1090288 |     1085100 |     1083478 |     1087861 |     1079357 |     1085150 |     1086438 |     1086471
  num incorrect                      |     6098076 |       37470 |       73568 |       36531 |       36647 |       37194 |       36580 |       36858 |       37088 |       36570 |       36466 |       36665 |       36734 |       36616 |       36614 |       36834
  misprediction rate                 |       3.47% |       3.31% |       3.29% |       3.25% |       3.28% |       3.30% |       3.25% |       3.26% |       3.29% |       3.26% |       3.26% |       3.26% |       3.29% |       3.26% |       3.26% |       3.28%
  mpki                               |        1.55 |        0.66 |        0.66 |        0.65 |        0.66 |        0.66 |        0.65 |        0.65 |        0.66 |        0.65 |        0.65 |        0.65 |        0.66 |        0.65 |        0.65 |        0.66
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
