                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  168149389 |  169346680 |  170766621 |  171338804
  Cycles                             |   62822400 |   62822400 |   62822400 |   62822400
  IPC                                |       2.68 |       2.70 |       2.72 |       2.73
  Time (ns)                          |   62822400 |   62822400 |   62822400 |   62822400
  Idle time (ns)                     |        319 |     556449 |     559051 |     561463
  Idle time (%)                      |       0.0% |       0.9% |       0.9% |       0.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    1069228 |    1703475 |   20281036 |   20472008
  num incorrect                      |      15026 |       6982 |       5283 |       5161
  misprediction rate                 |      1.39% |      0.41% |      0.03% |      0.03%
  mpki                               |       0.09 |       0.04 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   15905427 |   15734468 |   10542487 |   10542488
    num misses                       |        376 |         38 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   77346445 |   77173617 |   61236096 |   61331245
    num misses                       |       5018 |       7819 |       5949 |       8398
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.05 |       0.03 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |       5394 |       7857 |       5987 |       8436
    num misses                       |        564 |        154 |        133 |        138
    miss rate                        |     10.46% |      1.96% |      2.22% |      1.64%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   15905427 |   15734468 |   10542487 |   10542488
    num cache misses                 |      82892 |      58312 |      57699 |      57753
    miss rate                        |      0.52% |      0.37% |      0.55% |      0.55%
    mpki                             |       0.49 |       0.34 |       0.34 |       0.34
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   77346445 |   77173617 |   61236096 |   61331245
    num cache misses                 |    1140590 |    1107437 |     759690 |     752522
    miss rate                        |      1.47% |      1.43% |      1.24% |      1.23%
    mpki                             |       6.78 |       6.54 |       4.45 |       4.39
  Cache L2                           |            |            |            |           
    num cache accesses               |    1242531 |    1183637 |     831448 |     825326
    num cache misses                 |     108175 |      82224 |      53730 |      58550
    miss rate                        |      8.71% |      6.95% |      6.46% |      7.09%
    mpki                             |       0.64 |       0.49 |       0.31 |       0.34
  Cache L3                           |            |            |            |           
    num cache accesses               |     141781 |     122984 |      97780 |      93282
    num cache misses                 |      12858 |       1622 |       1762 |       1715
    miss rate                        |      9.07% |      1.32% |      1.80% |      1.84%
    mpki                             |       0.08 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      17747 |          0 |          0 |          0
  average dram access latency (ns)   |      61.55 |        inf |        inf |        inf
  average dram queueing delay        |       0.30 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6845 |         49 |         37 |         40
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
