                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11851101 |    3514387 |    3137372 |    3558956
  Cycles                             |    8435800 |    8435800 |    8435800 |    8435800
  IPC                                |       1.40 |       0.42 |       0.37 |       0.42
  Time (ns)                          |    8435800 |    8435800 |    8435800 |    8435800
  Idle time (ns)                     |       1393 |    5994753 |    5995632 |    5995840
  Idle time (%)                      |       0.0% |      71.1% |      71.1% |      71.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    1430450 |    1029778 |     873422 |    1051755
  num incorrect                      |      85694 |      14165 |      19737 |      13352
  misprediction rate                 |      5.65% |      1.36% |      2.21% |      1.25%
  mpki                               |       7.23 |       4.03 |       6.29 |       3.75
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1322749 |     121720 |     157295 |     114452
    num misses                       |        179 |         25 |         27 |         25
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2648404 |     778913 |     742394 |     780726
    num misses                       |       1923 |        184 |        166 |        159
    miss rate                        |      0.07% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.16 |       0.05 |       0.05 |       0.04
  L2 TLB                             |            |            |            |           
    num accesses                     |       2102 |        209 |        193 |        184
    num misses                       |        588 |        148 |        140 |        138
    miss rate                        |     27.97% |     70.81% |     72.54% |     75.00%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1322749 |     121720 |     157295 |     114452
    num cache misses                 |       3068 |        189 |        196 |        190
    miss rate                        |      0.23% |      0.16% |      0.12% |      0.17%
    mpki                             |       0.26 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2648404 |     778913 |     742394 |     780726
    num cache misses                 |      46623 |      23050 |      23264 |      23047
    miss rate                        |      1.76% |      2.96% |      3.13% |      2.95%
    mpki                             |       3.93 |       6.56 |       7.42 |       6.48
  Cache L2                           |            |            |            |           
    num cache accesses               |      51875 |      23244 |      23465 |      23239
    num cache misses                 |      38575 |      20652 |      20811 |      20688
    miss rate                        |     74.36% |     88.85% |     88.69% |     89.02%
    mpki                             |       3.25 |       5.88 |       6.63 |       5.81
  Cache L3                           |            |            |            |           
    num cache accesses               |      40926 |      20666 |      20816 |      20701
    num cache misses                 |      17502 |       1102 |       1153 |       1070
    miss rate                        |     42.76% |      5.33% |      5.54% |      5.17%
    mpki                             |       1.48 |       0.31 |       0.37 |       0.30
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20770 |          0 |          0 |          0
  average dram access latency (ns)   |      61.35 |        inf |        inf |        inf
  average dram queueing delay        |       0.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10739 |        512 |        573 |        549
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
