                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5     
  Instructions                       |   757122175 |   758910830 |   757832696 |   759911067 |   758558579 |   759040497
  Cycles                             |  1154284400 |  1154284400 |  1154284400 |  1154284400 |  1154284400 |  1154284400
  IPC                                |        0.66 |        0.66 |        0.66 |        0.66 |        0.66 |        0.66
  Time (ns)                          |   288571100 |   288571100 |   288571100 |   288571100 |   288571100 |   288571100
  Idle time (ns)                     |        1169 |     1799708 |     2362295 |     1205693 |      622172 |     1206162
  Idle time (%)                      |        0.0% |        0.6% |        0.8% |        0.4% |        0.2% |        0.4%
Branch predictor stats               |             |             |             |             |             |            
  num correct                        |    58301568 |    58961032 |    58633096 |    59302565 |    58882701 |    59010899
  num incorrect                      |        6642 |        3074 |        2924 |        3091 |        2777 |        2717
  misprediction rate                 |       0.01% |       0.01% |       0.00% |       0.01% |       0.00% |       0.00%
  mpki                               |        0.01 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
TLB Summary                          |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |            
    num accesses                     |   109758314 |   109743808 |   109729282 |   109783308 |   109772752 |   109883565
    num misses                       |         118 |          24 |          24 |          22 |          24 |          24
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |            
    num accesses                     |   280487929 |   280686804 |   280454023 |   280826021 |   280553389 |   280701118
    num misses                       |    13794547 |    13740954 |    13747794 |    13744104 |    13741621 |    13730745
    miss rate                        |       4.92% |       4.90% |       4.90% |       4.89% |       4.90% |       4.89%
    mpki                             |       18.22 |       18.11 |       18.14 |       18.09 |       18.12 |       18.09
  L2 TLB                             |             |             |             |             |             |            
    num accesses                     |    13794665 |    13740978 |    13747818 |    13744126 |    13741645 |    13730769
    num misses                       |     6242375 |     6253872 |     6293385 |     6319831 |     6239044 |     6210316
    miss rate                        |      45.25% |      45.51% |      45.78% |      45.98% |      45.40% |      45.23%
    mpki                             |        8.24 |        8.24 |        8.30 |        8.32 |        8.22 |        8.18
Cache Summary                        |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |            
    num cache accesses               |   109758314 |   109743808 |   109729282 |   109783308 |   109772752 |   109883565
    num cache misses                 |        7824 |        3914 |        3920 |        3918 |        3874 |        3945
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
  Cache L1-D                         |             |             |             |             |             |            
    num cache accesses               |   280487929 |   280686804 |   280454023 |   280826021 |   280553389 |   280701118
    num cache misses                 |    15318648 |    15311374 |    15304807 |    15304404 |    15316307 |    15295695
    miss rate                        |       5.46% |       5.45% |       5.46% |       5.45% |       5.46% |       5.45%
    mpki                             |       20.23 |       20.18 |       20.20 |       20.14 |       20.19 |       20.15
  Cache L2                           |             |             |             |             |             |            
    num cache accesses               |    15534423 |    15529940 |    15518146 |    15519266 |    15521879 |    15507432
    num cache misses                 |     4605694 |     4594674 |     4589959 |     4594111 |     4589445 |     4588814
    miss rate                        |      29.65% |      29.59% |      29.58% |      29.60% |      29.57% |      29.59%
    mpki                             |        6.08 |        6.05 |        6.06 |        6.05 |        6.05 |        6.05
  Cache L3                           |             |             |             |             |             |            
    num cache accesses               |     4813577 |     4808253 |     4798258 |     4804944 |     4789720 |     4795248
    num cache misses                 |     4552793 |     4551128 |     4545293 |     4550051 |     4540070 |     4545666
    miss rate                        |      94.58% |      94.65% |      94.73% |      94.70% |      94.79% |      94.80%
    mpki                             |        6.01 |        6.00 |        6.00 |        5.99 |        5.99 |        5.99
DRAM summary                         |             |             |             |             |             |            
  num dram accesses                  |    16981707 |           0 |           0 |    16984503 |           0 |           0
  average dram access latency (ns)   |     4600.19 |         inf |         inf |     4576.49 |         inf |         inf
  average dram queueing delay        |     4538.93 |        0.00 |        0.00 |     4515.24 |        0.00 |        0.00
  average dram bandwidth utilization |       7.00% |       0.00% |       0.00% |       7.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |            
  num loads from dram                |     3067067 |     3058869 |     3058195 |     3058950 |     3059239 |     3056160
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      179685 |      189618 |      184136 |      186873 |      178934 |      180914
