                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9497499 |    9626674 |    9740950 |    9638800
  Cycles                             |    5884800 |    5884800 |    5884800 |    5884800
  IPC                                |       1.61 |       1.64 |       1.66 |       1.64
  Time (ns)                          |    1471200 |    1471200 |    1471200 |    1471200
  Idle time (ns)                     |        303 |     231129 |     231485 |     231610
  Idle time (%)                      |       0.0% |      15.7% |      15.7% |      15.7%
Branch predictor stats               |            |            |            |           
  num correct                        |     642892 |     899429 |     946909 |     913711
  num incorrect                      |       9138 |       2931 |       2906 |       2964
  misprediction rate                 |      1.40% |      0.32% |      0.31% |      0.32%
  mpki                               |       0.96 |       0.30 |       0.30 |       0.31
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1062378 |     922611 |     916563 |     916345
    num misses                       |        222 |         28 |         29 |         28
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4945846 |    4637208 |    4645991 |    4629226
    num misses                       |       2416 |        997 |       1040 |        940
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.25 |       0.10 |       0.11 |       0.10
  L2 TLB                             |            |            |            |           
    num accesses                     |       2638 |       1025 |       1069 |        968
    num misses                       |        612 |        195 |        211 |        169
    miss rate                        |     23.20% |     19.02% |     19.74% |     17.46%
    mpki                             |       0.06 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1062378 |     922611 |     916563 |     916345
    num cache misses                 |       6675 |        437 |        450 |        421
    miss rate                        |      0.63% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.70 |       0.05 |       0.05 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4945846 |    4637208 |    4645991 |    4629226
    num cache misses                 |     168861 |     148432 |     146590 |     145840
    miss rate                        |      3.41% |      3.20% |      3.16% |      3.15%
    mpki                             |      17.78 |      15.42 |      15.05 |      15.13
  Cache L2                           |            |            |            |           
    num cache accesses               |     181989 |     152651 |     151020 |     147640
    num cache misses                 |      24179 |      17000 |      17140 |      16146
    miss rate                        |     13.29% |     11.14% |     11.35% |     10.94%
    mpki                             |       2.55 |       1.77 |       1.76 |       1.68
  Cache L3                           |            |            |            |           
    num cache accesses               |      35075 |      25421 |      25322 |      21407
    num cache misses                 |      18296 |      10092 |      12823 |       9337
    miss rate                        |     52.16% |     39.70% |     50.64% |     43.62%
    mpki                             |       1.93 |       1.05 |       1.32 |       0.97
DRAM summary                         |            |            |            |           
  num dram accesses                  |      13760 |          0 |      13740 |          0
  average dram access latency (ns)   |     335.12 |        inf |     338.39 |        inf
  average dram queueing delay        |     273.87 |       0.00 |     277.14 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      1.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6873 |        135 |         86 |         54
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       2137 |       4422 |       7522 |       4421
