                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |    7453199 |    7226082 |    7904564 |    8259343 |    8568185 |    8378348
  Cycles                             |    4516500 |    4516500 |    4516500 |    4516500 |    4516500 |    4516500
  IPC                                |       1.65 |       1.60 |       1.75 |       1.83 |       1.90 |       1.86
  Time (ns)                          |    4516500 |    4516500 |    4516500 |    4516500 |    4516500 |    4516500
  Idle time (ns)                     |        167 |     516102 |     516885 |     517431 |     517839 |     518251
  Idle time (%)                      |       0.0% |      11.4% |      11.4% |      11.5% |      11.5% |      11.5%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |     554330 |     657497 |    1130715 |    1261220 |    1435499 |    1406309
  num incorrect                      |       9056 |       2625 |       2594 |       2341 |       2332 |       2079
  misprediction rate                 |      1.61% |      0.40% |      0.23% |      0.19% |      0.16% |      0.15%
  mpki                               |       1.22 |       0.36 |       0.33 |       0.28 |       0.27 |       0.25
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |     824938 |     697464 |     600731 |     596499 |     569306 |     556958
    num misses                       |        194 |         28 |         28 |         29 |         28 |         29
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    3836150 |    3507175 |    3295418 |    3337954 |    3296023 |    3221223
    num misses                       |       1854 |        648 |        688 |        634 |        660 |        391
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.25 |       0.09 |       0.09 |       0.08 |       0.08 |       0.05
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2048 |        676 |        716 |        663 |        688 |        420
    num misses                       |        555 |        170 |        184 |        176 |        167 |        141
    miss rate                        |     27.10% |     25.15% |     25.70% |     26.55% |     24.27% |     33.57%
    mpki                             |       0.07 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |     824938 |     697464 |     600731 |     596499 |     569306 |     556958
    num cache misses                 |       8444 |        996 |        528 |        961 |        860 |        592
    miss rate                        |      1.02% |      0.14% |      0.09% |      0.16% |      0.15% |      0.11%
    mpki                             |       1.13 |       0.14 |       0.07 |       0.12 |       0.10 |       0.07
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    3836150 |    3507175 |    3295418 |    3337954 |    3296023 |    3221223
    num cache misses                 |     131400 |     111454 |      98022 |      97358 |      91699 |      88652
    miss rate                        |      3.43% |      3.18% |      2.97% |      2.92% |      2.78% |      2.75%
    mpki                             |      17.63 |      15.42 |      12.40 |      11.79 |      10.70 |      10.58
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     144447 |     114247 |     103006 |     103155 |      96374 |      91485
    num cache misses                 |      34847 |      20129 |      17054 |      18556 |      17826 |      14101
    miss rate                        |     24.12% |     17.62% |     16.56% |     17.99% |     18.50% |     15.41%
    mpki                             |       4.68 |       2.79 |       2.16 |       2.25 |       2.08 |       1.68
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      43705 |      24948 |      24959 |      27679 |      26531 |      21183
    num cache misses                 |      15879 |       4365 |       4165 |       9165 |      10865 |       7793
    miss rate                        |     36.33% |     17.50% |     16.69% |     33.11% |     40.95% |     36.79%
    mpki                             |       2.13 |       0.60 |       0.53 |       1.11 |       1.27 |       0.93
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13832 |          0 |          0 |          0 |      13804 |          0
  average dram access latency (ns)   |      61.86 |        inf |        inf |        inf |      61.77 |        inf
  average dram queueing delay        |       0.61 |       0.00 |       0.00 |       0.00 |       0.52 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6941 |        193 |        154 |        109 |         80 |         42
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1348 |        843 |        877 |       5509 |       7207 |       4409
