                                     | Core 0      | Core 1     
  Instructions                       |  3938536475 |   897399759
  Cycles                             |  5171840280 |  3923465040
  IPC                                |        0.76 |        0.23
  Time (ns)                          |  1783393200 |  1783393200
  Idle time (ns)                     |   362316352 |  1421098710
  Idle time (%)                      |       20.3% |       79.7%
Branch predictor stats               |             |            
  num correct                        |   169396490 |    17365223
  num incorrect                      |     6279738 |      586268
  misprediction rate                 |       3.57% |       3.27%
  mpki                               |        1.59 |        0.65
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   773979120 |   138992082
    num misses                       |         189 |          47
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  2331207686 |   567306776
    num misses                       |    13448582 |     5911519
    miss rate                        |       0.58% |       1.04%
    mpki                             |        3.41 |        6.59
  L2 TLB                             |             |            
    num accesses                     |    13448771 |     5911566
    num misses                       |     6440708 |     3087175
    miss rate                        |      47.89% |      52.22%
    mpki                             |        1.64 |        3.44
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   773979120 |   138992082
    num cache misses                 |     1518740 |       48871
    miss rate                        |       0.20% |       0.04%
    mpki                             |        0.39 |        0.05
  Cache L1-D                         |             |            
    num cache accesses               |  2331207686 |   567306776
    num cache misses                 |    20563908 |     5778712
    miss rate                        |       0.88% |       1.02%
    mpki                             |        5.22 |        6.44
  Cache L2                           |             |            
    num cache accesses               |    23304779 |     5827792
    num cache misses                 |    12677823 |     4923448
    miss rate                        |      54.40% |      84.48%
    mpki                             |        3.22 |        5.49
  Cache L3                           |             |            
    num cache accesses               |    13900782 |     4923657
    num cache misses                 |     4130929 |      879249
    miss rate                        |      29.72% |      17.86%
    mpki                             |        1.05 |        0.98
DRAM summary                         |             |            
  num dram accesses                  |     7477528 |           0
  average dram access latency (ns)   |       61.28 |         inf
  average dram queueing delay        |        0.02 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |     3445095 |      775717
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
