,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,best_strategy
BC,0.2765434551685849,0.49464281875880634,0.4304539596666634,1.0,0.0,0.0005123280103549218,3.0405754943235023e-05,0.00036919993796987046,0.9917074307011414,Scatter
BFS,0.27566609419019883,0.49525054742970515,0.4293877492339258,1.0,0.0,0.0005166650375023281,2.8871140783863115e-05,0.0003691744113675982,0.9917590092187355,Scatter
BT,1.6603787131944203,0.5848094330503546,0.2620298295347729,1.0,0.0,0.0019677433930962085,2.2440396534014332e-06,8.076298712591758e-06,0.9992080671559052,Scatter
CC,0.27330232243070346,0.49470012549203324,0.4318522208392113,1.0,0.0,0.0005194367234159021,2.8741167405145015e-05,0.00037001259162519504,0.9917305176602504,Scatter
CG,1.3204758620027204,0.5871035258208727,0.2602011081674003,1.0,0.0,0.024755269222134696,7.271787288955649e-06,2.26034233218907e-05,0.9976049990202269,Scatter
FT,1.695326393898672,0.5790583146524898,0.266586345111156,1.0,0.0,0.014623824146008144,0.000487597712965445,0.0022484682822293814,0.5350971388135748,Scatter
IS,0.5768228671452097,0.5786083025917077,0.26705889596276894,1.0,0.0,0.0029945933214546618,1.2710050945522471e-05,0.00015448336874275336,0.9985874171465826,Scatter
MG,1.0124353689298098,0.572471862607766,0.2719472009421835,1.0,0.0,0.008906118712820118,1.978372267677628e-05,0.00017092522263871125,0.9979880721419846,Scatter
PR,0.2761248089446226,0.4949934608341728,0.43131859532490247,1.0,0.0,0.0005133392647635636,2.6886076925835232e-05,0.0003688936674436107,0.9919351079203766,Scatter
SP,1.345896591913702,0.5965119943891395,0.2535946975394023,1.0,0.0,0.007700345671556562,2.109598493055727e-06,1.736192209267466e-05,0.999141760904685,Scatter
SSSP,0.37641775694136853,0.49942047315322097,0.37324500369244545,1.0,0.0,0.0004250212118343886,2.183945363878375e-05,0.00030496782688022007,0.9894100431300061,Scatter
TC,0.27959840224204974,0.4949640341571292,0.42714031712851414,1.0,0.0,0.0005201038875082515,3.541070118466044e-05,0.0003723283385178118,0.9922376749988449,Scatter
lavaMD,0.25632792768433793,0.0,1.0,1.0,0.0,0.004749775247228049,1.7980221756068326e-05,0.01805513934671861,1.0,Scatter
