                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  236783877 |   28048194 |   37820340 |   47616261 |   57400818 |   67174174 |   76959375 |   86754246 |   96539700 |  106323091 |  116100058 |  123786356
  Cycles                             |  255043800 |  336194100 |  255043800 |  336194100 |  336194100 |  255043800 |  255043800 |  336194100 |  336194100 |  336194100 |  255043800 |  255043800
  IPC                                |       0.93 |       0.08 |       0.15 |       0.14 |       0.17 |       0.26 |       0.30 |       0.26 |       0.29 |       0.32 |       0.46 |       0.49
  Time (ns)                          |  115929000 |  115929000 |  115929000 |  115929000 |  115929000 |  115929000 |  115929000 |  115929000 |  115929000 |  115929000 |  115929000 |  115929000
  Idle time (ns)                     |   20932047 |  108126065 |  104256235 |  104190103 |  102258088 |   98634936 |   97051938 |   97010031 |   95185629 |   93113307 |   89081308 |   87521340
  Idle time (%)                      |      18.1% |      93.3% |      89.9% |      89.9% |      88.2% |      85.1% |      83.7% |      83.7% |      82.1% |      80.3% |      76.8% |      75.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   20948122 |    4018776 |    5412678 |    6813450 |    8210937 |    9605325 |   11002996 |   12403328 |   13801072 |   15198225 |   16593516 |   17391492
  num incorrect                      |       8791 |         91 |         91 |         91 |         91 |         79 |         79 |         91 |         90 |         90 |         90 |         90
  misprediction rate                 |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   37800101 |        312 |        317 |        312 |        312 |        233 |        233 |        312 |        312 |        312 |        312 |        313
    num misses                       |        118 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      5.13% |      5.05% |      5.13% |      5.13% |      6.87% |      6.87% |      5.13% |      5.13% |      5.13% |      5.13% |      5.11%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   23588606 |    4806828 |    4804749 |    4806064 |    4805757 |    4803558 |    4803343 |    4804801 |    4804622 |    4804148 |    4802743 |    4502697
    num misses                       |   17862096 |    1367045 |    1379505 |    1375655 |    1384380 |    1383685 |    1377865 |    1383980 |    1386646 |    1386894 |    1387723 |    1380945
    miss rate                        |     75.72% |     28.44% |     28.71% |     28.62% |     28.81% |     28.81% |     28.69% |     28.80% |     28.86% |     28.87% |     28.89% |     30.67%
    mpki                             |      75.44 |      48.74 |      36.48 |      28.89 |      24.12 |      20.60 |      17.90 |      15.95 |      14.36 |      13.04 |      11.95 |      11.16
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   17862214 |    1367061 |    1379521 |    1375671 |    1384396 |    1383701 |    1377881 |    1383996 |    1386662 |    1386910 |    1387739 |    1380961
    num misses                       |   16632601 |    1264337 |    1285796 |    1283061 |    1296820 |    1295597 |    1285879 |    1300117 |    1303523 |    1300570 |    1304455 |    1293696
    miss rate                        |     93.12% |     92.49% |     93.21% |     93.27% |     93.67% |     93.63% |     93.32% |     93.94% |     94.00% |     93.77% |     94.00% |     93.68%
    mpki                             |      70.24 |      45.08 |      34.00 |      26.95 |      22.59 |      19.29 |      16.71 |      14.99 |      13.50 |      12.23 |      11.24 |      10.45
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   37800101 |        312 |        317 |        312 |        312 |        233 |        233 |        312 |        312 |        312 |        312 |        313
    num cache misses                 |       5981 |         95 |         96 |         95 |         95 |         95 |         94 |         94 |         95 |         95 |         94 |         94
    miss rate                        |      0.02% |     30.45% |     30.28% |     30.45% |     30.45% |     40.77% |     40.34% |     30.13% |     30.45% |     30.45% |     30.13% |     30.03%
    mpki                             |       0.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   23588606 |    4806828 |    4804749 |    4806064 |    4805757 |    4803558 |    4803343 |    4804801 |    4804622 |    4804148 |    4802743 |    4502697
