                                     | Core 0     | Core 1    
  Instructions                       |   12342770 |    3947166
  Cycles                             |   10908000 |   10908000
  IPC                                |       1.13 |       0.36
  Time (ns)                          |    2727000 |    2727000
  Idle time (ns)                     |       1307 |    1800712
  Idle time (%)                      |       0.0% |      66.0%
Branch predictor stats               |            |           
  num correct                        |    1557900 |    1005432
  num incorrect                      |      97530 |      32410
  misprediction rate                 |      5.89% |      3.12%
  mpki                               |       7.90 |       8.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1471848 |     276402
    num misses                       |        175 |         29
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3211221 |    1081346
    num misses                       |       1557 |        190
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.13 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       1732 |        219
    num misses                       |        595 |        170
    miss rate                        |     34.35% |     77.63%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1471848 |     276402
    num cache misses                 |       2674 |        180
    miss rate                        |      0.18% |      0.07%
    mpki                             |       0.22 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    3211221 |    1081346
    num cache misses                 |      58241 |      35196
    miss rate                        |      1.81% |      3.25%
    mpki                             |       4.72 |       8.92
  Cache L2                           |            |           
    num cache accesses               |      63080 |      35377
    num cache misses                 |      44054 |      28385
    miss rate                        |     69.84% |     80.24%
    mpki                             |       3.57 |       7.19
  Cache L3                           |            |           
    num cache accesses               |      46297 |      28415
    num cache misses                 |      18558 |       2007
    miss rate                        |     40.08% |      7.06%
    mpki                             |       1.50 |       0.51
DRAM summary                         |            |           
  num dram accesses                  |      20544 |          0
  average dram access latency (ns)   |      62.03 |        inf
  average dram queueing delay        |       0.78 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11146 |        855
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
