                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   22983596 |    5468354 |    5291519 |    4394065
  Cycles                             |   16230400 |   16230400 |   16230400 |   16230400
  IPC                                |       1.42 |       0.34 |       0.33 |       0.27
  Time (ns)                          |   16230400 |   16230400 |   16230400 |   16230400
  Idle time (ns)                     |       1281 |   11994428 |   11995214 |   11995654
  Idle time (%)                      |       0.0% |      73.9% |      73.9% |      73.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    2763797 |    1561344 |    1487772 |    1106212
  num incorrect                      |     174787 |      24683 |      26845 |      40197
  misprediction rate                 |      5.95% |      1.56% |      1.77% |      3.51%
  mpki                               |       7.60 |       4.51 |       5.07 |       9.15
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3447243 |     209360 |     228494 |     311838
    num misses                       |        171 |         26 |         26 |         28
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    5512003 |    1297641 |    1278534 |    1194800
    num misses                       |       3871 |       1953 |       2004 |       1917
    miss rate                        |      0.07% |      0.15% |      0.16% |      0.16%
    mpki                             |       0.17 |       0.36 |       0.38 |       0.44
  L2 TLB                             |            |            |            |           
    num accesses                     |       4042 |       1979 |       2030 |       1945
    num misses                       |        667 |        207 |        215 |        205
    miss rate                        |     16.50% |     10.46% |     10.59% |     10.54%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3447243 |     209360 |     228494 |     311838
    num cache misses                 |       3282 |        214 |        217 |        225
    miss rate                        |      0.10% |      0.10% |      0.09% |      0.07%
    mpki                             |       0.14 |       0.04 |       0.04 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    5512003 |    1297641 |    1278534 |    1194800
    num cache misses                 |      72746 |      46070 |      46300 |      46696
    miss rate                        |      1.32% |      3.55% |      3.62% |      3.91%
    mpki                             |       3.17 |       8.42 |       8.75 |      10.63
  Cache L2                           |            |            |            |           
    num cache accesses               |      78164 |      46289 |      46524 |      46926
    num cache misses                 |      61987 |      40621 |      40858 |      41168
    miss rate                        |     79.30% |     87.76% |     87.82% |     87.73%
    mpki                             |       2.70 |       7.43 |       7.72 |       9.37
  Cache L3                           |            |            |            |           
    num cache accesses               |      64311 |      40647 |      40901 |      41176
    num cache misses                 |      20676 |       1982 |       2106 |       2144
    miss rate                        |     32.15% |      4.88% |      5.15% |      5.21%
    mpki                             |       0.90 |       0.36 |       0.40 |       0.49
DRAM summary                         |            |            |            |           
  num dram accesses                  |      26843 |          0 |          0 |          0
  average dram access latency (ns)   |      61.33 |        inf |        inf |        inf
  average dram queueing delay        |       0.08 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      11218 |       1012 |       1105 |       1017
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
