                                     | Core 0     | Core 1    
  Instructions                       |   12424549 |    3986775
  Cycles                             |   10691600 |   10691600
  IPC                                |       1.16 |       0.37
  Time (ns)                          |    2672900 |    2672900
  Idle time (ns)                     |       1213 |    1797637
  Idle time (%)                      |       0.0% |      67.3%
Branch predictor stats               |            |           
  num correct                        |    1573845 |    1002969
  num incorrect                      |      97595 |      32183
  misprediction rate                 |      5.84% |      3.11%
  mpki                               |       7.86 |       8.07
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1411967 |     209586
    num misses                       |        183 |         48
    miss rate                        |      0.01% |      0.02%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3232367 |    1101139
    num misses                       |       1335 |        226
    miss rate                        |      0.04% |      0.02%
    mpki                             |       0.11 |       0.06
  L2 TLB                             |            |           
    num accesses                     |       1518 |        274
    num misses                       |        578 |        190
    miss rate                        |     38.08% |     69.34%
    mpki                             |       0.05 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1411967 |     209586
    num cache misses                 |       2606 |        368
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.21 |       0.09
  Cache L1-D                         |            |           
    num cache accesses               |    3232367 |    1101139
    num cache misses                 |      58011 |      35702
    miss rate                        |      1.79% |      3.24%
    mpki                             |       4.67 |       8.96
  Cache L2                           |            |           
    num cache accesses               |      63307 |      37608
    num cache misses                 |      43630 |      28716
    miss rate                        |     68.92% |     76.36%
    mpki                             |       3.51 |       7.20
  Cache L3                           |            |           
    num cache accesses               |      46445 |      30348
    num cache misses                 |      43048 |      28716
    miss rate                        |     92.69% |     94.62%
    mpki                             |       3.46 |       7.20
DRAM summary                         |            |           
  num dram accesses                  |      10359 |      10312
  average dram access latency (ns)   |      61.39 |      61.37
  average dram queueing delay        |       0.14 |       0.12
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10302 |         25
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        640 |       2151
