                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       2.02 |       3.93 |       4.53 |       4.07 |       4.19 |       4.43 |       4.23 |       4.02 |       4.02 |       4.39 |       3.99 |       4.32 |       4.31 |       5.02 |       5.01 |       4.18
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      47226 |      14121 |      14604 |      14253 |      14244 |      14480 |      14372 |      14005 |      14525 |      14756 |      14490 |      14685 |      14543 |      14960 |      15017 |      14475
    num cache misses                 |      32684 |      12892 |      13172 |      13042 |      12966 |      13088 |      13058 |      12873 |      12981 |      13100 |      12968 |      13068 |      13013 |      13234 |      13258 |      12989
    miss rate                        |     69.21% |     91.30% |     90.19% |     91.50% |     91.03% |     90.39% |     90.86% |     91.92% |     89.37% |     88.78% |     89.50% |     88.99% |     89.48% |     88.46% |     88.29% |     89.73%
    mpki                             |       1.56 |       3.65 |       4.18 |       3.79 |       3.89 |       4.09 |       3.93 |       3.77 |       3.73 |       4.07 |       3.72 |       4.00 |       4.01 |       4.65 |       4.61 |       3.90
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      35784 |      12985 |      13330 |      13149 |      13077 |      13241 |      13187 |      12974 |      13360 |      13532 |      13346 |      13470 |      13413 |      13730 |      13718 |      13386
    num cache misses                 |      26204 |       6796 |       6987 |       6753 |       6888 |       6804 |       6831 |       6692 |       7364 |       7490 |       7267 |       7282 |       7264 |       7319 |       7343 |       7337
    miss rate                        |     73.23% |     52.34% |     52.42% |     51.36% |     52.67% |     51.39% |     51.80% |     51.58% |     55.12% |     55.35% |     54.45% |     54.06% |     54.16% |     53.31% |     53.53% |     54.81%
    mpki                             |       1.25 |       1.93 |       2.22 |       1.96 |       2.06 |       2.13 |       2.05 |       1.96 |       2.12 |       2.33 |       2.08 |       2.23 |       2.24 |       2.57 |       2.56 |       2.20
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      14218 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      14146 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.43 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.39 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.18 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10433 |        152 |        172 |        158 |        154 |        137 |        141 |        131 |        114 |        118 |        110 |        106 |        104 |        103 |        104 |        116
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2278 |       2095 |       2097 |       2059 |       2104 |       2113 |       2097 |       2111 |       2536 |       2604 |       2528 |       2519 |       2492 |       2672 |       2603 |       2521
