                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696252 |    4410564 |   84090216 |   84314361 |   84061988 |  171984217 |   98276366 |   97609070 |   98522132 |   99518774 |  354707519 |  359369451 |  358024066 |  373166789 |    4568080
  Cycles                             |  242555500 |  319732250 |  319732250 |  319732250 |  242555500 |  242555500 |  319732250 |  242555500 |  242555500 |  319732250 |  319732250 |  319732250 |  242555500 |  319732250 |  242555500
  IPC                                |       0.04 |       0.01 |       0.26 |       0.26 |       0.35 |       0.71 |       0.31 |       0.40 |       0.41 |       0.31 |       1.11 |       1.12 |       1.48 |       1.17 |       0.02
  Time (ns)                          |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500 |  110252500
  Idle time (ns)                     |  106509615 |  108162111 |   60629848 |   60490760 |   60916616 |   11761777 |   95333663 |   92447427 |   92300705 |   94952539 |    9085715 |   10050945 |    8428840 |    8476175 |  108562232
  Idle time (%)                      |      96.6% |      98.1% |      55.0% |      54.9% |      55.3% |      10.7% |      86.5% |      83.9% |      83.7% |      86.1% |       8.2% |       9.1% |       7.6% |       7.7% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279271 |     175565 |    4227093 |    4237547 |    4224603 |    8658549 |     153587 |     151698 |     147281 |     152357 |   42609406 |   42711046 |   42560050 |   44866260 |     465888
  num incorrect                      |       7690 |        726 |        639 |        625 |        623 |       1468 |       2836 |       2788 |       2535 |       2726 |    2099512 |    2024783 |    1952550 |    2032014 |       8314
  misprediction rate                 |      0.60% |      0.41% |      0.02% |      0.01% |      0.01% |      0.02% |      1.81% |      1.80% |      1.69% |      1.76% |      4.70% |      4.53% |      4.39% |      4.33% |      1.75%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.92 |       5.63 |       5.45 |       5.45 |       1.82
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529879 |     430466 |    6352664 |    6367479 |    6347309 |   13010239 |    5535640 |    5497145 |    5539615 |    5600960 |   40535959 |   41078181 |   40748039 |   42497211 |     618824
