                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45172018 |    6549872 |    5542800 |    6172694 |    9057145 |    8975041
  Cycles                             |   30790600 |   30790600 |   30790600 |   30790600 |   30790600 |   30790600
  IPC                                |       1.47 |       0.21 |       0.18 |       0.20 |       0.29 |       0.29
  Time (ns)                          |   30790600 |   30790600 |   30790600 |   30790600 |   30790600 |   30790600
  Idle time (ns)                     |     170337 |   25854543 |   25719718 |   25719514 |   25872460 |   25975924
  Idle time (%)                      |       0.6% |      84.0% |      83.5% |      83.5% |      84.0% |      84.4%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5038287 |    1810374 |    1351119 |    1625773 |    2649186 |    2639018
  num incorrect                      |     356435 |      35916 |      57218 |      46020 |      35707 |      32991
  misprediction rate                 |      6.61% |      1.95% |      4.06% |      2.75% |      1.33% |      1.23%
  mpki                               |       7.89 |       5.48 |      10.32 |       7.46 |       3.94 |       3.68
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    5903455 |     332580 |     457509 |     391372 |     330607 |     313918
    num misses                       |        170 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10441038 |    1625228 |    1551035 |    1606671 |    2041829 |    2013035
    num misses                       |      13524 |      11766 |      11948 |      12033 |      11925 |      11990
    miss rate                        |      0.13% |      0.72% |      0.77% |      0.75% |      0.58% |      0.60%
    mpki                             |       0.30 |       1.80 |       2.16 |       1.95 |       1.32 |       1.34
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13694 |      11792 |      11974 |      12059 |      11951 |      12016
    num misses                       |        896 |        329 |        334 |        331 |        334 |        332
    miss rate                        |      6.54% |      2.79% |      2.79% |      2.74% |      2.79% |      2.76%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.05 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    5903455 |     332580 |     457509 |     391372 |     330607 |     313918
    num cache misses                 |       3499 |        236 |        246 |        247 |        227 |        239
    miss rate                        |      0.06% |      0.07% |      0.05% |      0.06% |      0.07% |      0.08%
    mpki                             |       0.08 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10441038 |    1625228 |    1551035 |    1606671 |    2041829 |    2013035
    num cache misses                 |      99569 |      67036 |      68499 |      67675 |      64796 |      64660
    miss rate                        |      0.95% |      4.12% |      4.42% |      4.21% |      3.17% |      3.21%
    mpki                             |       2.20 |      10.23 |      12.36 |      10.96 |       7.15 |       7.20
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105411 |      67550 |      69069 |      68247 |      67408 |      67220
    num cache misses                 |      85877 |      59250 |      59723 |      59521 |      56345 |      56120
    miss rate                        |     81.47% |     87.71% |     86.47% |     87.21% |     83.59% |     83.49%
    mpki                             |       1.90 |       9.05 |      10.77 |       9.64 |       6.22 |       6.25
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      88501 |      59579 |      60091 |      59898 |      58767 |      58446
    num cache misses                 |      44635 |      21034 |      21534 |      20937 |      41618 |      41397
    miss rate                        |     50.43% |     35.30% |     35.84% |     34.95% |     70.82% |     70.83%
    mpki                             |       0.99 |       3.21 |       3.89 |       3.39 |       4.60 |       4.61
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      19686 |          0 |          0 |          0 |      19648 |          0
  average dram access latency (ns)   |      61.29 |        inf |        inf |        inf |      61.29 |        inf
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10898 |        872 |        833 |        805 |        433 |        433
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       6493 |       6307 |       6424 |       6371 |       9579 |       9423
