                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   22072065 |    4857475 |    4601531 |    4647676 |    4143512 |    3678016
  Cycles                             |   63857200 |   63857200 |   63857200 |   63857200 |   15964300 |   15964300
  IPC                                |       0.35 |       0.08 |       0.07 |       0.07 |       0.26 |       0.23
  Time (ns)                          |   15964300 |   15964300 |   15964300 |   15964300 |   15964300 |   15964300
  Idle time (ns)                     |       1459 |   12737432 |   12738474 |   12738291 |   12709246 |   12708688
  Idle time (%)                      |       0.0% |      79.8% |      79.8% |      79.8% |      79.6% |      79.6%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2534973 |    1459254 |    1351096 |    1373610 |    1172032 |     975016
  num incorrect                      |     172423 |      13812 |      17499 |      16469 |      21922 |      29092
  misprediction rate                 |      6.37% |      0.94% |      1.28% |      1.18% |      1.84% |      2.90%
  mpki                               |       7.81 |       2.84 |       3.80 |       3.54 |       5.29 |       7.91
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2874393 |     134581 |     159695 |     154005 |     188797 |     233476
    num misses                       |        173 |         26 |         26 |         28 |         26 |         26
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5239497 |    1054995 |    1031323 |    1033091 |     975357 |     929673
    num misses                       |       2666 |       1315 |       1328 |       1377 |       1269 |       1303
    miss rate                        |      0.05% |      0.12% |      0.13% |      0.13% |      0.13% |      0.14%
    mpki                             |       0.12 |       0.27 |       0.29 |       0.30 |       0.31 |       0.35
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2839 |       1341 |       1354 |       1405 |       1295 |       1329
    num misses                       |        685 |        202 |        219 |        210 |        181 |        188
    miss rate                        |     24.13% |     15.06% |     16.17% |     14.95% |     13.98% |     14.15%
    mpki                             |       0.03 |       0.04 |       0.05 |       0.05 |       0.04 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2874393 |     134581 |     159695 |     154005 |     188797 |     233476
    num cache misses                 |       2842 |        171 |        170 |        178 |        174 |        190
    miss rate                        |      0.10% |      0.13% |      0.11% |      0.12% |      0.09% |      0.08%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5239497 |    1054995 |    1031323 |    1033091 |     975357 |     929673
    num cache misses                 |      60038 |      33173 |      33251 |      33414 |      33509 |      33700
    miss rate                        |      1.15% |      3.14% |      3.22% |      3.23% |      3.44% |      3.62%
    mpki                             |       2.72 |       6.83 |       7.23 |       7.19 |       8.09 |       9.16
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      64902 |      33351 |      33422 |      33595 |      33684 |      33890
    num cache misses                 |      48935 |      30092 |      30070 |      30260 |      30285 |      30426
    miss rate                        |     75.40% |     90.23% |     89.97% |     90.07% |     89.91% |     89.78%
    mpki                             |       2.22 |       6.19 |       6.53 |       6.51 |       7.31 |       8.27
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      51263 |      30123 |      30090 |      30288 |      30296 |      30427
    num cache misses                 |      20092 |       1351 |       1424 |       1388 |       1443 |       1454
    miss rate                        |     39.19% |      4.48% |      4.73% |      4.58% |      4.76% |      4.78%
    mpki                             |       0.91 |       0.28 |       0.31 |       0.30 |       0.35 |       0.40
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      27080 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.37 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10772 |        729 |        750 |        740 |        706 |        715
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
