                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695287 |    4394793 |   84090198 |   84062039 |   84314387 |  171984283 |  103033331 |   94553932 |   98004792 |   98335123 |  382998938 |  352823210 |  370629689 |  338831401 |    4565307
  Cycles                             |  244848120 |  322754340 |  322754340 |  244848120 |  322754340 |  244848120 |  322754340 |  244848120 |  244848120 |  322754340 |  322754340 |  244848120 |  322754340 |  244848120 |  244848120
  IPC                                |       0.04 |       0.01 |       0.26 |       0.34 |       0.26 |       0.70 |       0.32 |       0.39 |       0.40 |       0.30 |       1.19 |       1.44 |       1.15 |       1.38 |       0.02
  Time (ns)                          |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600 |  111294600
  Idle time (ns)                     |  107572721 |  109191841 |   61681861 |   61852234 |   61543138 |   12662379 |   95749418 |   94380973 |   93446916 |   96206301 |    9387811 |    7219756 |    9149919 |   10314010 |  109642917
  Idle time (%)                      |      96.7% |      98.1% |      55.4% |      55.6% |      55.3% |      11.4% |      86.0% |      84.8% |      84.0% |      86.4% |       8.4% |       6.5% |       8.2% |       9.3% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279120 |     172931 |    4227096 |    4224604 |    4237548 |    8658544 |     153525 |     145960 |     152046 |     153583 |   45787521 |   42103524 |   44115727 |   40736249 |     467005
  num incorrect                      |       7654 |        728 |        636 |        626 |        625 |       1470 |       2615 |       2657 |       2749 |       2790 |    1966996 |    2056798 |    2030140 |    2063610 |       8224
  misprediction rate                 |      0.59% |      0.42% |      0.02% |      0.01% |      0.01% |      0.02% |      1.67% |      1.79% |      1.78% |      1.78% |      4.12% |      4.66% |      4.40% |      4.82% |      1.73%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.14 |       5.83 |       5.48 |       6.09 |       1.80
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529747 |     430473 |    6352658 |    6347323 |    6367484 |   13010264 |    5792880 |    5322568 |    5519012 |    5539029 |   43454459 |   40376987 |   42199864 |   38829315 |     619051
    num misses                       |        114 |         36 |         33 |         32 |         34 |         34 |         39 |         39 |         39 |         39 |         46 |         47 |         40 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4835916 |    3838163 |   56692391 |   56681317 |   56848764 |  115948489 |   24076272 |   22121013 |   22937601 |   23019988 |  190296927 |  169564321 |  181717302 |  161878780 |    2498996
    num misses                       |      14585 |       5345 |        600 |        584 |        586 |       1172 |       2193 |       2125 |       2179 |       2228 |      26345 |      20954 |      21159 |      18867 |       3925
    miss rate                        |      0.30% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.16%
    mpki                             |       1.50 |       1.22 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.07 |       0.06 |       0.06 |       0.06 |       0.86
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14699 |       5381 |        633 |        616 |        620 |       1206 |       2232 |       2164 |       2218 |       2267 |      26391 |      21001 |      21199 |      18907 |       3966
    num misses                       |       6298 |       5326 |        626 |        614 |        618 |       1191 |       1813 |       1709 |       1763 |       1762 |       2204 |       1694 |       1992 |       1707 |       2240
    miss rate                        |     42.85% |     98.98% |     98.89% |     99.68% |     99.68% |     98.76% |     81.23% |     78.97% |     79.49% |     77.72% |      8.35% |      8.07% |      9.40% |      9.03% |     56.48%
    mpki                             |       0.65 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.00 |       0.01 |       0.01 |       0.49
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529747 |     430473 |    6352658 |    6347323 |    6367484 |   13010264 |    5792880 |    5322568 |    5519012 |    5539029 |   43454459 |   40376987 |   42199864 |   38829315 |     619051
    num cache misses                 |       2021 |        463 |        405 |        653 |        402 |       1073 |        945 |       1838 |       1839 |       1016 |      21201 |      25992 |      19795 |      25587 |        707
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.03% |      0.03% |      0.02% |      0.05% |      0.06% |      0.05% |      0.07% |      0.11%
    mpki                             |       0.21 |       0.11 |       0.00 |       0.01 |       0.00 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.06 |       0.07 |       0.05 |       0.08 |       0.15
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4835916 |    3838163 |   56692391 |   56681317 |   56848764 |  115948489 |   24076272 |   22121013 |   22937601 |   23019988 |  190296927 |  169564321 |  181717302 |  161878780 |    2498996
    num cache misses                 |     173496 |     334385 |      36415 |      36443 |      36311 |      74975 |      49498 |      46061 |      47749 |      47756 |    2828186 |    3126721 |    2610405 |    2945573 |      24664
    miss rate                        |      3.59% |      8.71% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.49% |      1.84% |      1.44% |      1.82% |      0.99%
    mpki                             |      17.89 |      76.09 |       0.43 |       0.43 |       0.43 |       0.44 |       0.48 |       0.49 |       0.49 |       0.49 |       7.38 |       8.86 |       7.04 |       8.69 |       5.40
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     239696 |     372686 |      37154 |      37430 |      37043 |      76955 |      51208 |      48668 |      51198 |      50431 |    2851075 |    3154098 |    2631712 |    2972712 |      28850
    num cache misses                 |     162464 |     333510 |      36444 |      36636 |      36379 |      74992 |      50097 |      47465 |      49078 |      48312 |     108415 |     103545 |     102279 |     100159 |      17142
    miss rate                        |     67.78% |     89.49% |     98.09% |     97.88% |     98.21% |     97.45% |     97.83% |     97.53% |     95.86% |     95.80% |      3.80% |      3.28% |      3.89% |      3.37% |     59.42%
    mpki                             |      16.76 |      75.89 |       0.43 |       0.44 |       0.43 |       0.44 |       0.49 |       0.50 |       0.50 |       0.49 |       0.28 |       0.29 |       0.28 |       0.30 |       3.75
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     226648 |     371349 |      36778 |      36970 |      36709 |      75912 |      50862 |      48234 |      50690 |      49971 |     110176 |     105004 |     103846 |     101794 |      20625
    num cache misses                 |     154663 |     332930 |      35097 |      30437 |      34975 |      13092 |       3787 |       3577 |      46857 |      46914 |      74193 |      65561 |      71299 |      68973 |       6138
    miss rate                        |     68.24% |     89.65% |     95.43% |     82.33% |     95.28% |     17.25% |      7.45% |      7.42% |     92.44% |     93.88% |     67.34% |     62.44% |     68.66% |     67.76% |     29.76%
    mpki                             |      15.95 |      75.76 |       0.42 |       0.36 |       0.41 |       0.08 |       0.04 |       0.04 |       0.48 |       0.48 |       0.19 |       0.19 |       0.19 |       0.20 |       1.34
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     534454 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |     534450 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.31 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.32 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      74768 |     203669 |      33089 |      28573 |      33078 |       8939 |       1907 |       1841 |       1458 |       1508 |        840 |        427 |        724 |        365 |       4643
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3173 |          4 |        425 |        449 |        429 |       1348 |        327 |        351 |      42626 |      42761 |      20011 |      21328 |      21310 |      25029 |        108
