                                     | Core 0     | Core 1    
  Instructions                       |   18519572 |   18246894
  Cycles                             |   19800000 |   19800000
  IPC                                |       0.94 |       0.92
  Time (ns)                          |    4950000 |    4950000
  Idle time (ns)                     |        143 |     187766
  Idle time (%)                      |       0.0% |       3.8%
Branch predictor stats               |            |           
  num correct                        |    1460636 |    1450461
  num incorrect                      |       7512 |       3768
  misprediction rate                 |      0.51% |      0.26%
  mpki                               |       0.41 |       0.21
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1218262 |    1147643
    num misses                       |        118 |         24
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6874359 |    6706175
    num misses                       |      27567 |      24304
    miss rate                        |      0.40% |      0.36%
    mpki                             |       1.49 |       1.33
  L2 TLB                             |            |           
    num accesses                     |      27685 |      24328
    num misses                       |        622 |        293
    miss rate                        |      2.25% |      1.20%
    mpki                             |       0.03 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1218262 |    1147643
    num cache misses                 |       2040 |        222
    miss rate                        |      0.17% |      0.02%
    mpki                             |       0.11 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |    6874359 |    6706175
    num cache misses                 |     253909 |     242885
    miss rate                        |      3.69% |      3.62%
    mpki                             |      13.71 |      13.31
  Cache L2                           |            |           
    num cache accesses               |     270910 |     255907
    num cache misses                 |      52093 |      42254
    miss rate                        |     19.23% |     16.51%
    mpki                             |       2.81 |       2.32
  Cache L3                           |            |           
    num cache accesses               |      77876 |      66650
    num cache misses                 |      13319 |       4297
    miss rate                        |     17.10% |      6.45%
    mpki                             |       0.72 |       0.24
DRAM summary                         |            |           
  num dram accesses                  |      17609 |          0
  average dram access latency (ns)   |     417.94 |        inf
  average dram queueing delay        |     356.69 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6319 |         90
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
