                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   22031917 |    4813396 |    4531751 |    4608123 |    4081882 |    3663130
  Cycles                             |   62959600 |   62959600 |   62959600 |   62959600 |   15739900 |   15739900
  IPC                                |       0.35 |       0.08 |       0.07 |       0.07 |       0.26 |       0.23
  Time (ns)                          |   15739900 |   15739900 |   15739900 |   15739900 |   15739900 |   15739900
  Idle time (ns)                     |       1289 |   12529649 |   12530476 |   12530427 |   12500366 |   12500612
  Idle time (%)                      |       0.0% |      79.6% |      79.6% |      79.6% |      79.4% |      79.4%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2522102 |    1444423 |    1326945 |    1360260 |    1151684 |     969915
  num incorrect                      |     168142 |      13891 |      17676 |      16502 |      22279 |      28365
  misprediction rate                 |      6.25% |      0.95% |      1.31% |      1.20% |      1.90% |      2.84%
  mpki                               |       7.63 |       2.89 |       3.90 |       3.58 |       5.46 |       7.74
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    3303697 |      68844 |      73424 |      70946 |      79320 |      84754
    num misses                       |        178 |         26 |         28 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5235139 |    1047818 |    1019437 |    1026885 |     965594 |     926538
    num misses                       |       3172 |       1338 |       1311 |       1397 |       1332 |       1333
    miss rate                        |      0.06% |      0.13% |      0.13% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.14 |       0.28 |       0.29 |       0.30 |       0.33 |       0.36
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       3350 |       1364 |       1339 |       1423 |       1358 |       1359
    num misses                       |        689 |        205 |        194 |        205 |        187 |        187
    miss rate                        |     20.57% |     15.03% |     14.49% |     14.41% |     13.77% |     13.76%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    3303697 |      68844 |      73424 |      70946 |      79320 |      84754
    num cache misses                 |       3037 |        174 |        183 |        176 |        184 |        192
    miss rate                        |      0.09% |      0.25% |      0.25% |      0.25% |      0.23% |      0.23%
    mpki                             |       0.14 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5235139 |    1047818 |    1019437 |    1026885 |     965594 |     926538
    num cache misses                 |      60088 |      33130 |      33388 |      33308 |      33476 |      33702
    miss rate                        |      1.15% |      3.16% |      3.28% |      3.24% |      3.47% |      3.64%
    mpki                             |       2.73 |       6.88 |       7.37 |       7.23 |       8.20 |       9.20
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65268 |      33310 |      33573 |      33487 |      33661 |      33896
    num cache misses                 |      49046 |      30030 |      30204 |      30152 |      30266 |      30456
    miss rate                        |     75.15% |     90.15% |     89.97% |     90.04% |     89.91% |     89.85%
    mpki                             |       2.23 |       6.24 |       6.66 |       6.54 |       7.41 |       8.31
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      51480 |      30057 |      30228 |      30181 |      30272 |      30458
    num cache misses                 |      20208 |       1335 |       1444 |       1337 |       1452 |       1458
    miss rate                        |     39.25% |      4.44% |      4.78% |      4.43% |      4.80% |      4.79%
    mpki                             |       0.92 |       0.28 |       0.32 |       0.29 |       0.36 |       0.40
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      27152 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.38 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10947 |        710 |        764 |        697 |        722 |        701
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
