                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   45145460 |    6559990 |    5512493 |    6317402 |    7153751 |    7029423
  Cycles                             |   34179200 |   34179200 |   34179200 |   34179200 |   34179200 |   34179200
  IPC                                |       1.32 |       0.19 |       0.16 |       0.18 |       0.21 |       0.21
  Time (ns)                          |    8544800 |    8544800 |    8544800 |    8544800 |    8544800 |    8544800
  Idle time (ns)                     |      57528 |    6992266 |    6946622 |    6945817 |    6993609 |    7018351
  Idle time (%)                      |       0.7% |      81.8% |      81.3% |      81.3% |      81.8% |      82.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5035789 |    1812970 |    1340016 |    1675423 |    2015827 |    1991406
  num incorrect                      |     350488 |      35635 |      57516 |      46120 |      35818 |      33322
  misprediction rate                 |      6.51% |      1.93% |      4.12% |      2.68% |      1.75% |      1.65%
  mpki                               |       7.76 |       5.43 |      10.43 |       7.30 |       5.01 |       4.74
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    5332091 |     333130 |     452402 |     388553 |     326135 |     309718
    num misses                       |        176 |         27 |         27 |         29 |         27 |         27
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   10436669 |    1627054 |    1547349 |    1629685 |    1724317 |    1688358
    num misses                       |      13344 |      11877 |      12056 |      12007 |      11992 |      11978
    miss rate                        |      0.13% |      0.73% |      0.78% |      0.74% |      0.70% |      0.71%
    mpki                             |       0.30 |       1.81 |       2.19 |       1.90 |       1.68 |       1.70
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      13520 |      11904 |      12083 |      12036 |      12019 |      12005
    num misses                       |        892 |        345 |        347 |        337 |        339 |        313
    miss rate                        |      6.60% |      2.90% |      2.87% |      2.80% |      2.82% |      2.61%
    mpki                             |       0.02 |       0.05 |       0.06 |       0.05 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    5332091 |     333130 |     452402 |     388553 |     326135 |     309718
    num cache misses                 |       2931 |        175 |        173 |        182 |        172 |        170
    miss rate                        |      0.05% |      0.05% |      0.04% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.06 |       0.03 |       0.03 |       0.03 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   10436669 |    1627054 |    1547349 |    1629685 |    1724317 |    1688358
    num cache misses                 |      99773 |      67483 |      68916 |      68174 |      67256 |      67142
    miss rate                        |      0.96% |      4.15% |      4.45% |      4.18% |      3.90% |      3.98%
    mpki                             |       2.21 |      10.29 |      12.50 |      10.79 |       9.40 |       9.55
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     105136 |      68006 |      69554 |      68817 |      69733 |      69578
    num cache misses                 |      83215 |      59319 |      59968 |      59940 |      59097 |      59093
    miss rate                        |     79.15% |     87.23% |     86.22% |     87.10% |     84.75% |     84.93%
    mpki                             |       1.84 |       9.04 |      10.88 |       9.49 |       8.26 |       8.41
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      85965 |      59717 |      60486 |      60465 |      61439 |      61364
    num cache misses                 |      47674 |      24297 |      24790 |      24504 |      47409 |      47545
    miss rate                        |     55.46% |     40.69% |     40.98% |     40.53% |     77.16% |     77.48%
    mpki                             |       1.06 |       3.70 |       4.50 |       3.88 |       6.63 |       6.76
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      19757 |          0 |          0 |          0 |      19691 |          0
  average dram access latency (ns)   |      61.45 |        inf |        inf |        inf |      61.43 |        inf
  average dram queueing delay        |       0.20 |       0.00 |       0.00 |       0.00 |       0.18 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10936 |        914 |        907 |        894 |        283 |        259
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       8873 |       8542 |       8699 |       8848 |       8865 |       8669
