                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    9675054 |    4505369 |  256044153 |   84314380 |   84089198 |  132516485 |  129824889 |  131579294 |  494944437 |  470658756 |  479597704 |    4600511
  Cycles                             |  341406120 |  450035340 |  341406120 |  341406120 |  341406120 |  450035340 |  341406120 |  450035340 |  450035340 |  341406120 |  341406120 |  450035340
  IPC                                |       0.03 |       0.01 |       0.75 |       0.25 |       0.25 |       0.29 |       0.38 |       0.29 |       1.10 |       1.38 |       1.40 |       0.01
  Time (ns)                          |  155184600 |  155184600 |  155184600 |  155184600 |  155184600 |  155184600 |  155184600 |  155184600 |  155184600 |  155184600 |  155184600 |  155184600
  Idle time (ns)                     |  151562147 |  153060217 |    8373618 |  105357984 |  105499085 |  135064070 |  131635206 |  135189225 |   15997361 |   18264553 |   15438470 |  153621740
  Idle time (%)                      |      97.7% |      98.6% |       5.4% |      67.9% |      68.0% |      87.0% |      84.8% |      87.1% |      10.3% |      11.8% |       9.9% |      99.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1277408 |     191357 |   12883225 |    4237548 |    4226922 |     202547 |     198169 |     203605 |   59479609 |   55717909 |   57528982 |     467233
  num incorrect                      |       7612 |        732 |       1898 |        621 |        631 |       3517 |       3365 |       3618 |    2780030 |    2610514 |    2719710 |       8495
  misprediction rate                 |      0.59% |      0.38% |      0.01% |      0.01% |      0.01% |      1.71% |      1.67% |      1.75% |      4.47% |      4.48% |      4.51% |      1.79%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       5.62 |       5.55 |       5.67 |       1.85
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1527244 |     430473 |   19357272 |    6367463 |    6352516 |    7458353 |    7306548 |    7408135 |   56498363 |   53744500 |   54610655 |     620606
    num misses                       |        115 |         36 |         32 |         32 |         35 |         39 |         38 |         39 |         47 |         40 |         46 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4824113 |    3911885 |  172627804 |   56848718 |   56691905 |   30996199 |   30365002 |   30790333 |  239521038 |  230430585 |  233487286 |    2523680
    num misses                       |      12816 |       5345 |       1768 |        588 |        590 |       2915 |       2826 |       3014 |      28747 |      28803 |      27525 |       3261
    miss rate                        |      0.27% |      0.14% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.13%
    mpki                             |       1.32 |       1.19 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06 |       0.06 |       0.71
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      12931 |       5381 |       1800 |        620 |        625 |       2954 |       2864 |       3053 |      28794 |      28843 |      27571 |       3302
    num misses                       |       4207 |       5325 |       1735 |        615 |        619 |       2287 |       2226 |       2324 |       2640 |       2418 |       2472 |       2124
    miss rate                        |     32.53% |     98.96% |     96.39% |     99.19% |     99.04% |     77.42% |     77.72% |     76.12% |      9.17% |      8.38% |      8.97% |     64.32%
    mpki                             |       0.43 |       1.18 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.46
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1527244 |     430473 |   19357272 |    6367463 |    6352516 |    7458353 |    7306548 |    7408135 |   56498363 |   53744500 |   54610655 |     620606
    num cache misses                 |       2012 |        464 |       1431 |        645 |        620 |       1483 |       2630 |       1309 |      22715 |      30923 |      30055 |        452
    miss rate                        |      0.13% |      0.11% |      0.01% |      0.01% |      0.01% |      0.02% |      0.04% |      0.02% |      0.04% |      0.06% |      0.06% |      0.07%
    mpki                             |       0.21 |       0.10 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01 |       0.05 |       0.07 |       0.06 |       0.10
