                                     | Core 0     | Core 1    
  Instructions                       |   24884493 |    5991629
  Cycles                             |   20106800 |   20106800
  IPC                                |       1.24 |       0.30
  Time (ns)                          |    5026700 |    5026700
  Idle time (ns)                     |       1287 |    3432400
  Idle time (%)                      |       0.0% |      68.3%
Branch predictor stats               |            |           
  num correct                        |    3138598 |    1366090
  num incorrect                      |     200684 |      67308
  misprediction rate                 |      6.01% |      4.70%
  mpki                               |       8.06 |      11.23
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    2907530 |     572754
    num misses                       |        174 |         29
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6207970 |    1854110
    num misses                       |       4991 |       3575
    miss rate                        |      0.08% |      0.19%
    mpki                             |       0.20 |       0.60
  L2 TLB                             |            |           
    num accesses                     |       5165 |       3604
    num misses                       |        703 |        263
    miss rate                        |     13.61% |      7.30%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    2907530 |     572754
    num cache misses                 |       2762 |        182
    miss rate                        |      0.09% |      0.03%
    mpki                             |       0.11 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    6207970 |    1854110
    num cache misses                 |     100091 |      74789
    miss rate                        |      1.61% |      4.03%
    mpki                             |       4.02 |      12.48
  Cache L2                           |            |           
    num cache accesses               |     105886 |      78135
    num cache misses                 |      72766 |      56220
    miss rate                        |     68.72% |     71.95%
    mpki                             |       2.92 |       9.38
  Cache L3                           |            |           
    num cache accesses               |      75954 |      59435
    num cache misses                 |      71963 |      56218
    miss rate                        |     94.75% |     94.59%
    mpki                             |       2.89 |       9.38
DRAM summary                         |            |           
  num dram accesses                  |      13337 |      13288
  average dram access latency (ns)   |      61.37 |      61.36
  average dram queueing delay        |       0.12 |       0.11
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10180 |         11
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       1133 |       3855
