                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   12815938 |    4839321 |    5193343 |    4507059 |    4833631 |    5217894
  Cycles                             |    9973600 |    9973600 |    9973600 |    9973600 |    9973600 |    9973600
  IPC                                |       1.28 |       0.49 |       0.52 |       0.45 |       0.48 |       0.52
  Time (ns)                          |    2493400 |    2493400 |    2493400 |    2493400 |    2493400 |    2493400
  Idle time (ns)                     |       1625 |    1811387 |    1811712 |    1811769 |    1811702 |    1811750
  Idle time (%)                      |       0.1% |      72.6% |      72.7% |      72.7% |      72.7% |      72.7%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1615951 |    1459175 |    1621559 |    1307164 |    1456398 |    1630410
  num incorrect                      |      86002 |      12377 |       7457 |      17400 |      12737 |       7573
  misprediction rate                 |      5.05% |      0.84% |      0.46% |      1.31% |      0.87% |      0.46%
  mpki                               |       6.71 |       2.56 |       1.44 |       3.86 |       2.64 |       1.45
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1603397 |      67906 |      46518 |      83989 |      67097 |      45263
    num misses                       |        170 |         24 |         24 |         22 |         23 |         23
    miss rate                        |      0.01% |      0.04% |      0.05% |      0.03% |      0.03% |      0.05%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    3102437 |     967905 |     999893 |     934285 |     965693 |    1002898
    num misses                       |       2301 |        574 |        556 |        539 |        538 |        529
    miss rate                        |      0.07% |      0.06% |      0.06% |      0.06% |      0.06% |      0.05%
    mpki                             |       0.18 |       0.12 |       0.11 |       0.12 |       0.11 |       0.10
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2471 |        598 |        580 |        561 |        561 |        552
    num misses                       |        654 |        173 |        170 |        170 |        169 |        167
    miss rate                        |     26.47% |     28.93% |     29.31% |     30.30% |     30.12% |     30.25%
    mpki                             |       0.05 |       0.04 |       0.03 |       0.04 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1603397 |      67906 |      46518 |      83989 |      67097 |      45263
    num cache misses                 |       2746 |        157 |        156 |        152 |        154 |        153
    miss rate                        |      0.17% |      0.23% |      0.34% |      0.18% |      0.23% |      0.34%
    mpki                             |       0.21 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    3102437 |     967905 |     999893 |     934285 |     965693 |    1002898
    num cache misses                 |      46340 |      18518 |      18092 |      19026 |      18549 |      17989
    miss rate                        |      1.49% |      1.91% |      1.81% |      2.04% |      1.92% |      1.79%
    mpki                             |       3.62 |       3.83 |       3.48 |       4.22 |       3.84 |       3.45
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      51585 |      19055 |      18529 |      20023 |      19437 |      18764
    num cache misses                 |      35411 |      16618 |      16362 |      16833 |      16676 |      16285
    miss rate                        |     68.65% |     87.21% |     88.30% |     84.07% |     85.80% |     86.79%
    mpki                             |       2.76 |       3.43 |       3.15 |       3.73 |       3.45 |       3.12
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      38849 |      17010 |      16645 |      17682 |      17421 |      16919
    num cache misses                 |      28823 |       9646 |       9379 |      11124 |      10997 |      10604
    miss rate                        |     74.19% |     56.71% |     56.35% |     62.91% |     63.12% |     62.68%
    mpki                             |       2.25 |       1.99 |       1.81 |       2.47 |       2.28 |       2.03
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      12722 |          0 |          0 |      12676 |          0 |          0
  average dram access latency (ns)   |      61.65 |        inf |        inf |      61.66 |        inf |        inf
  average dram queueing delay        |       0.40 |       0.00 |       0.00 |       0.41 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10510 |        303 |        304 |        257 |        236 |        231
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2524 |       2639 |       2599 |       3685 |       3518 |       3345
