                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   74034915 |   78073331 |   79039892 |   78648109 |   71805199 |   71749921 |   72887344 |   72789366 |   86991908 |   86830693 |   86789498 |   86727704
  Cycles                             |   39037200 |   39037200 |   39037200 |   39037200 |   29277900 |   29277900 |   29277900 |   29277900 |   39037200 |   39037200 |   39037200 |   39037200
  IPC                                |       1.90 |       2.00 |       2.02 |       2.01 |       2.45 |       2.45 |       2.49 |       2.49 |       2.23 |       2.22 |       2.22 |       2.22
  Time (ns)                          |    9759300 |    9759300 |    9759300 |    9759300 |    9759300 |    9759300 |    9759300 |    9759300 |    9759300 |    9759300 |    9759300 |    9759300
  Idle time (ns)                     |       1394 |     279349 |     258313 |     270023 |     258623 |     282530 |     277638 |     259025 |     297915 |     424891 |     440070 |     425040
  Idle time (%)                      |       0.0% |       2.9% |       2.6% |       2.8% |       2.7% |       2.9% |       2.8% |       2.7% |       3.1% |       4.4% |       4.5% |       4.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4552122 |    6058321 |    6380500 |    6249902 |    7295349 |    7276921 |    7655906 |    7623253 |   12357617 |   12304095 |   12289951 |   12269544
  num incorrect                      |      36182 |      28720 |      28721 |      28723 |      23984 |      23973 |      23990 |      23988 |      23975 |      23934 |      23976 |      23977
  misprediction rate                 |      0.79% |      0.47% |      0.45% |      0.46% |      0.33% |      0.33% |      0.31% |      0.31% |      0.19% |      0.19% |      0.19% |      0.20%
  mpki                               |       0.49 |       0.37 |       0.36 |       0.37 |       0.33 |       0.33 |       0.33 |       0.33 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6716563 |    6598997 |    6599001 |    6599001 |    5499563 |    5499561 |    5499674 |    5499674 |    5499565 |    5499438 |    5499712 |    5499566
    num misses                       |        198 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   23798581 |   24224806 |   24385910 |   24320612 |   21311388 |   21302189 |   21492012 |   21475678 |   23842510 |   23815393 |   23809072 |   23798471
    num misses                       |      21487 |      21049 |      21006 |      20500 |      17557 |      17169 |      17571 |      17446 |      17313 |      17597 |      17743 |      17363
    miss rate                        |      0.09% |      0.09% |      0.09% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.29 |       0.27 |       0.27 |       0.26 |       0.24 |       0.24 |       0.24 |       0.24 |       0.20 |       0.20 |       0.20 |       0.20
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
