feature,importance
num_threads,0.03759555800842616
bench_class_enc,0.010204664238556154
avg_ipc,0.029684639994126048
ipc_cv,0.05438174853625812
pe_ratio,0.05621369049795626
local_ratio,0.03957185151074057
remote_ratio,0.046813109715089465
l2_intensity,0.02445232071025003
l3_intensity,0.011341387688831698
mem_intensity,0.016523229389270103
read_ratio,0.02052982819501287
cpi_l3_ratio,0.03106435867385432
cpi_dram_local_ratio,0.0218150138101672
cpi_dram_remote_ratio,0.048195714018596285
cpi_branch_ratio,0.05460186716995778
cpi_sync_ratio,0.03646257714477059
uop_load_ratio,0.025817360600098854
uop_store_ratio,0.036373825462963257
uop_fp_ratio,0.029359354476576238
dtlb_miss_rate,0.01747544117450212
branch_mispredict_rate,0.041293789244836884
avg_dram_latency,0.05891074678385904
dram_queue_ratio,0.05370679595309437
l1d_hit_ratio,0.056387636722384504
futex_wake_per_minst,0.01516940723052232
mem_bw_mbps,0.02024164140818348
operational_intensity,0.022883543218896962
itlb_miss_rate,0.041042746589570765
stlb_miss_rate,0.02345375664714161
load_l1_ratio,0.018432395185506045
