                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   49918345 |    9435951 |    9032332 |    9889534 |    9729029 |    9543807
  Cycles                             |   36269200 |   36269200 |   36269200 |   36269200 |   36269200 |   36269200
  IPC                                |       1.38 |       0.26 |       0.25 |       0.27 |       0.27 |       0.26
  Time (ns)                          |    9067300 |    9067300 |    9067300 |    9067300 |    9067300 |    9067300
  Idle time (ns)                     |     143526 |    7272112 |    7142314 |    7148899 |    7276299 |    7304125
  Idle time (%)                      |       1.6% |      80.2% |      78.8% |      78.8% |      80.2% |      80.6%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    5539941 |    2631649 |    2267871 |    2682644 |    2731780 |    2695120
  num incorrect                      |     364190 |      35990 |      62935 |      47857 |      35764 |      33685
  misprediction rate                 |      6.17% |      1.35% |      2.70% |      1.75% |      1.29% |      1.23%
  mpki                               |       7.30 |       3.81 |       6.97 |       4.84 |       3.68 |       3.53
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    6621250 |     230565 |     344887 |     282102 |     233012 |     212883
    num misses                       |        171 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   11506501 |    2152331 |    2208789 |    2282288 |    2199076 |    2152596
    num misses                       |      18370 |      16051 |      16233 |      16298 |      16019 |      16055
    miss rate                        |      0.16% |      0.75% |      0.73% |      0.71% |      0.73% |      0.75%
    mpki                             |       0.37 |       1.70 |       1.80 |       1.65 |       1.65 |       1.68
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      18541 |      16075 |      16257 |      16322 |      16043 |      16079
    num misses                       |       2167 |       1453 |       1503 |       1469 |       1471 |       1464
    miss rate                        |     11.69% |      9.04% |      9.25% |      9.00% |      9.17% |      9.11%
    mpki                             |       0.04 |       0.15 |       0.17 |       0.15 |       0.15 |       0.15
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    6621250 |     230565 |     344887 |     282102 |     233012 |     212883
    num cache misses                 |       3412 |        214 |        215 |        218 |        192 |        191
    miss rate                        |      0.05% |      0.09% |      0.06% |      0.08% |      0.08% |      0.09%
    mpki                             |       0.07 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   11506501 |    2152331 |    2208789 |    2282288 |    2199076 |    2152596
    num cache misses                 |     123057 |      74257 |      77908 |      74515 |      74017 |      73894
    miss rate                        |      1.07% |      3.45% |      3.53% |      3.26% |      3.37% |      3.43%
    mpki                             |       2.47 |       7.87 |       8.63 |       7.53 |       7.61 |       7.74
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     129503 |      75233 |      79174 |      75680 |      77332 |      77102
    num cache misses                 |     103444 |      64598 |      65754 |      64633 |      64351 |      64252
    miss rate                        |     79.88% |     85.86% |     83.05% |     85.40% |     83.21% |     83.33%
    mpki                             |       2.07 |       6.85 |       7.28 |       6.54 |       6.61 |       6.73
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     107654 |      65402 |      66848 |      65653 |      67516 |      67312
    num cache misses                 |      58218 |      27127 |      27404 |      26788 |      52670 |      52733
    miss rate                        |     54.08% |     41.48% |     40.99% |     40.80% |     78.01% |     78.34%
    mpki                             |       1.17 |       2.87 |       3.03 |       2.71 |       5.41 |       5.53
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      28903 |          0 |          0 |          0 |      28852 |          0
  average dram access latency (ns)   |      62.27 |        inf |        inf |        inf |      62.21 |        inf
  average dram queueing delay        |       1.02 |       0.00 |       0.00 |       0.00 |       0.96 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      11739 |       1561 |       1557 |       1622 |        527 |        559
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       9568 |       9467 |       9603 |       9199 |      11156 |      10933
