                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     353189 |          0 |          0 |          0
  Cycles                             |     379300 |     379300 |     379300 |     379300
  IPC                                |       0.93 |       0.00 |       0.00 |       0.00
  Time (ns)                          |     379300 |     379300 |     379300 |     379300
  Idle time (ns)                     |        170 |     379300 |     379300 |     379300
  Idle time (%)                      |       0.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      52593 |          0 |          0 |          0
  num incorrect                      |       3471 |          0 |          0 |          0
  misprediction rate                 |      6.19% |      0.00% |      0.00% |      0.00%
  mpki                               |       9.83 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      41949 |          0 |          0 |          0
    num misses                       |         94 |          0 |          0 |          0
    miss rate                        |      0.22% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.27 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |     148483 |          0 |          0 |          0
    num misses                       |        341 |          0 |          0 |          0
    miss rate                        |      0.23% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.97 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        435 |          0 |          0 |          0
    num misses                       |        289 |          0 |          0 |          0
    miss rate                        |     66.44% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.82 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      41949 |          0 |          0 |          0
    num cache misses                 |       1282 |          0 |          0 |          0
    miss rate                        |      3.06% |       inf% |       inf% |       inf%
    mpki                             |       3.63 |        inf |        inf |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     148483 |          0 |          0 |          0
    num cache misses                 |       9455 |          0 |          0 |          0
    miss rate                        |      6.37% |       inf% |       inf% |       inf%
    mpki                             |      26.77 |        inf |        inf |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      12613 |          0 |          0 |          0
    num cache misses                 |       9219 |          0 |          0 |          0
    miss rate                        |     73.09% |       inf% |       inf% |       inf%
    mpki                             |      26.10 |        inf |        inf |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      11101 |          0 |          0 |          0
    num cache misses                 |       8787 |          0 |          0 |          0
    miss rate                        |     79.16% |       inf% |       inf% |       inf%
    mpki                             |      24.88 |        inf |        inf |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |       8787 |          0 |          0 |          0
  average dram access latency (ns)   |      61.40 |        inf |        inf |        inf
  average dram queueing delay        |       0.15 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6151 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
