                                     | Core 0     | Core 1    
  Instructions                       |   12311954 |    3902913
  Cycles                             |   10612400 |   10612400
  IPC                                |       1.16 |       0.37
  Time (ns)                          |    2653100 |    2653100
  Idle time (ns)                     |       1449 |    1789850
  Idle time (%)                      |       0.1% |      67.5%
Branch predictor stats               |            |           
  num correct                        |    1548433 |     992455
  num incorrect                      |      96710 |      31979
  misprediction rate                 |      5.88% |      3.12%
  mpki                               |       7.85 |       8.19
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1708068 |     116415
    num misses                       |        175 |         26
    miss rate                        |      0.01% |      0.02%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3208751 |    1073835
    num misses                       |       1606 |        188
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.13 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       1781 |        214
    num misses                       |        599 |        153
    miss rate                        |     33.63% |     71.50%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1708068 |     116415
    num cache misses                 |       2904 |        180
    miss rate                        |      0.17% |      0.15%
    mpki                             |       0.24 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    3208751 |    1073835
    num cache misses                 |      57899 |      35046
    miss rate                        |      1.80% |      3.26%
    mpki                             |       4.70 |       8.98
  Cache L2                           |            |           
    num cache accesses               |      63519 |      36834
    num cache misses                 |      43775 |      28231
    miss rate                        |     68.92% |     76.64%
    mpki                             |       3.56 |       7.23
  Cache L3                           |            |           
    num cache accesses               |      46609 |      29872
    num cache misses                 |      43125 |      28231
    miss rate                        |     92.53% |     94.51%
    mpki                             |       3.50 |       7.23
DRAM summary                         |            |           
  num dram accesses                  |      10305 |      10247
  average dram access latency (ns)   |      61.40 |      61.38
  average dram queueing delay        |       0.15 |       0.13
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10316 |         17
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        653 |       2138
