                                     | Core 0      | Core 1     
  Instructions                       |  1230010230 |  1101807473
  Cycles                             |   944550300 |   944550300
  IPC                                |        1.30 |        1.17
  Time (ns)                          |   325707000 |   325707000
  Idle time (ns)                     |    23517241 |     5970817
  Idle time (%)                      |        7.2% |        1.8%
Branch predictor stats               |             |            
  num correct                        |   109216724 |    79666862
  num incorrect                      |     9575214 |     5890429
  misprediction rate                 |       8.06% |       6.88%
  mpki                               |        7.78 |        5.35
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   132512568 |   112287858
    num misses                       |         145 |          60
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |   582434009 |   560844874
    num misses                       |       73229 |       51718
    miss rate                        |       0.01% |       0.01%
    mpki                             |        0.06 |        0.05
  L2 TLB                             |             |            
    num accesses                     |       73374 |       51778
    num misses                       |       14732 |       13397
    miss rate                        |      20.08% |      25.87%
    mpki                             |        0.01 |        0.01
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   132512568 |   112287858
    num cache misses                 |       62868 |       48879
    miss rate                        |       0.05% |       0.04%
    mpki                             |        0.05 |        0.04
  Cache L1-D                         |             |            
    num cache accesses               |   582434009 |   560844874
    num cache misses                 |     6603990 |     4390560
    miss rate                        |       1.13% |       0.78%
    mpki                             |        5.37 |        3.98
  Cache L2                           |             |            
    num cache accesses               |     6737893 |     4611032
    num cache misses                 |      477992 |      601302
    miss rate                        |       7.09% |      13.04%
    mpki                             |        0.39 |        0.55
  Cache L3                           |             |            
    num cache accesses               |      549091 |      772969
    num cache misses                 |      413472 |      493740
    miss rate                        |      75.30% |      63.88%
    mpki                             |        0.34 |        0.45
DRAM summary                         |             |            
  num dram accesses                  |      475654 |      475535
  average dram access latency (ns)   |       61.40 |       61.27
  average dram queueing delay        |        0.15 |        0.02
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |       77574 |      415764
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |      149776 |        6311
