                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   13701130 |    5474729 |    4811324 |    5575461
  Cycles                             |   10804000 |   10804000 |   10804000 |   10804000
  IPC                                |       1.27 |       0.51 |       0.45 |       0.52
  Time (ns)                          |    2701000 |    2701000 |    2701000 |    2701000
  Idle time (ns)                     |       1563 |    1836415 |    1836544 |    1837018
  Idle time (%)                      |       0.1% |      68.0% |      68.0% |      68.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    1778943 |    1655679 |    1396121 |    1698261
  num incorrect                      |      93963 |      19398 |      28617 |      17967
  misprediction rate                 |      5.02% |      1.16% |      2.01% |      1.05%
  mpki                               |       6.86 |       3.54 |       5.95 |       3.22
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1420647 |      74589 |      87402 |      71129
    num misses                       |        173 |         25 |         27 |         25
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.01 |       0.00 |       0.01 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    3038899 |    1156267 |    1095429 |    1163999
    num misses                       |       2081 |        676 |        666 |        672
    miss rate                        |      0.07% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.15 |       0.12 |       0.14 |       0.12
  L2 TLB                             |            |            |            |           
    num accesses                     |       2254 |        701 |        693 |        697
    num misses                       |        654 |        192 |        189 |        195
    miss rate                        |     29.02% |     27.39% |     27.27% |     27.98%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1420647 |      74589 |      87402 |      71129
    num cache misses                 |       2728 |        183 |        189 |        182
    miss rate                        |      0.19% |      0.25% |      0.22% |      0.26%
    mpki                             |       0.20 |       0.03 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3038899 |    1156267 |    1095429 |    1163999
    num cache misses                 |      52768 |      25314 |      26090 |      25093
    miss rate                        |      1.74% |      2.19% |      2.38% |      2.16%
    mpki                             |       3.85 |       4.62 |       5.42 |       4.50
  Cache L2                           |            |            |            |           
    num cache accesses               |      57551 |      25503 |      26284 |      25279
    num cache misses                 |      39234 |      22285 |      22724 |      22168
    miss rate                        |     68.17% |     87.38% |     86.46% |     87.69%
    mpki                             |       2.86 |       4.07 |       4.72 |       3.98
  Cache L3                           |            |            |            |           
    num cache accesses               |      42994 |      22302 |      22755 |      22189
    num cache misses                 |      19455 |       1913 |       2011 |       1902
    miss rate                        |     45.25% |      8.58% |      8.84% |      8.57%
    mpki                             |       1.42 |       0.35 |       0.42 |       0.34
DRAM summary                         |            |            |            |           
  num dram accesses                  |      25163 |          0 |          0 |          0
  average dram access latency (ns)   |      65.33 |        inf |        inf |        inf
  average dram queueing delay        |       4.07 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      11125 |        918 |        971 |        950
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
