feature,importance
num_threads,0.021976229
bench_class_enc,0.0
avg_ipc,0.0372544
ipc_cv,0.0077331304
pe_ratio,0.08432044
local_ratio,0.037973315
remote_ratio,0.0
l2_intensity,0.036492884
l3_intensity,0.021090187
mem_intensity,0.04279199
read_ratio,0.03780953
cpi_l3_ratio,0.007815224
cpi_dram_local_ratio,0.01502116
cpi_dram_remote_ratio,0.036876068
cpi_branch_ratio,0.113723785
cpi_sync_ratio,0.0091839405
uop_load_ratio,0.011847736
uop_store_ratio,0.060850363
uop_fp_ratio,0.021531397
dtlb_miss_rate,0.065057606
branch_mispredict_rate,0.03613167
avg_dram_latency,0.061274372
dram_queue_ratio,0.073913135
l1d_hit_ratio,0.013783987
futex_wake_per_minst,0.021715246
mem_bw_mbps,0.017042458
operational_intensity,0.031384055
itlb_miss_rate,0.014139048
stlb_miss_rate,0.02306754
load_l1_ratio,0.0381991
