                                     | Core 0     | Core 1    
  Instructions                       |   12431370 |    3988356
  Cycles                             |   10701600 |   10701600
  IPC                                |       1.16 |       0.37
  Time (ns)                          |    2675400 |    2675400
  Idle time (ns)                     |       1267 |    1797345
  Idle time (%)                      |       0.0% |      67.2%
Branch predictor stats               |            |           
  num correct                        |    1576228 |    1004286
  num incorrect                      |      97800 |      32593
  misprediction rate                 |      5.84% |      3.14%
  mpki                               |       7.87 |       8.17
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1410822 |     206868
    num misses                       |        171 |         46
    miss rate                        |      0.01% |      0.02%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3233921 |    1101430
    num misses                       |       1498 |        226
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.12 |       0.06
  L2 TLB                             |            |           
    num accesses                     |       1669 |        272
    num misses                       |        596 |        187
    miss rate                        |     35.71% |     68.75%
    mpki                             |       0.05 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1410822 |     206868
    num cache misses                 |       2691 |        361
    miss rate                        |      0.19% |      0.17%
    mpki                             |       0.22 |       0.09
  Cache L1-D                         |            |           
    num cache accesses               |    3233921 |    1101430
    num cache misses                 |      58060 |      35726
    miss rate                        |      1.80% |      3.24%
    mpki                             |       4.67 |       8.96
  Cache L2                           |            |           
    num cache accesses               |      63457 |      37634
    num cache misses                 |      43760 |      28730
    miss rate                        |     68.96% |     76.34%
    mpki                             |       3.52 |       7.20
  Cache L3                           |            |           
    num cache accesses               |      46585 |      30369
    num cache misses                 |      43082 |      28730
    miss rate                        |     92.48% |     94.60%
    mpki                             |       3.47 |       7.20
DRAM summary                         |            |           
  num dram accesses                  |      10366 |      10323
  average dram access latency (ns)   |      61.39 |      61.38
  average dram queueing delay        |       0.14 |       0.13
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10312 |         22
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        647 |       2162
