                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4     | Core 5     | Core 6     | Core 7     | Core 8      | Core 9      | Core 10     | Core 11     | Core 12    | Core 13    | Core 14    | Core 15   
  Cache L2                           |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
    num cache accesses               |       21787 |    10112037 |      180763 |      194194 |     234293 |     372648 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    num cache misses                 |       17183 |      276140 |      177784 |      189485 |     160650 |     333602 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    miss rate                        |      78.87% |       2.73% |      98.35% |      97.58% |     68.57% |     89.52% |       inf% |       inf% |        inf% |        inf% |        inf% |        inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        4.52 |        0.19 |        0.42 |        0.48 |      16.68 |      75.96 |        inf |        inf |         inf |         inf |         inf |         inf |        inf |        inf |        inf |        inf
  Cache L3                           |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
    num cache accesses               |       19257 |      281542 |      178442 |      192291 |     222587 |     371306 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    num cache misses                 |        3625 |       89599 |      173001 |       12617 |     151594 |     332939 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
    miss rate                        |      18.82% |      31.82% |      96.95% |       6.56% |     68.11% |     89.67% |       inf% |       inf% |        inf% |        inf% |        inf% |        inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |        0.95 |        0.06 |        0.41 |        0.03 |      15.74 |      75.81 |        inf |        inf |         inf |         inf |         inf |         inf |        inf |        inf |        inf |        inf
DRAM summary                         |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
  num dram accesses                  |     1075116 |           0 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |       61.54 |         inf |         inf |         inf |        inf |        inf |        inf |        inf |         inf |         inf |         inf |         inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |        0.29 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00 |        0.00 |        0.00 |        0.00 |        0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00% |       0.00% |       0.00% |       0.00% |       0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |             |             |             |             |            |            |            |            |             |             |             |             |            |            |            |           
  num loads from dram                |        2710 |        2193 |      166452 |        7797 |      75455 |     203540 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from dram cache          |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
  num loads from remote cache        |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0 |           0 |           0 |           0 |           0 |          0 |          0 |          0 |          0
