                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11588972 |    3518200 |    3135956 |    3570331
  Cycles                             |    8328000 |    8328000 |    8328000 |    8328000
  IPC                                |       1.39 |       0.42 |       0.38 |       0.43
  Time (ns)                          |    8328000 |    8328000 |    8328000 |    8328000
  Idle time (ns)                     |       1408 |    5882807 |    5883622 |    5883696
  Idle time (%)                      |       0.0% |      70.6% |      70.6% |      70.6%
Branch predictor stats               |            |            |            |           
  num correct                        |    1444478 |    1030170 |     869943 |    1053486
  num incorrect                      |      83928 |      13979 |      19686 |      13168
  misprediction rate                 |      5.49% |      1.34% |      2.21% |      1.23%
  mpki                               |       7.24 |       3.97 |       6.28 |       3.69
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1350027 |     123643 |     157037 |     116648
    num misses                       |        177 |         29 |         27 |         27
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2887614 |     788756 |     751224 |     792314
    num misses                       |       1476 |        156 |        172 |        158
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.13 |       0.04 |       0.05 |       0.04
  L2 TLB                             |            |            |            |           
    num accesses                     |       1653 |        185 |        199 |        185
    num misses                       |        582 |        143 |        149 |        148
    miss rate                        |     35.21% |     77.30% |     74.87% |     80.00%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1350027 |     123643 |     157037 |     116648
    num cache misses                 |       3034 |        180 |        184 |        173
    miss rate                        |      0.22% |      0.15% |      0.12% |      0.15%
    mpki                             |       0.26 |       0.05 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2887614 |     788756 |     751224 |     792314
    num cache misses                 |      46734 |      23055 |      23251 |      23023
    miss rate                        |      1.62% |      2.92% |      3.10% |      2.91%
    mpki                             |       4.03 |       6.55 |       7.41 |       6.45
  Cache L2                           |            |            |            |           
    num cache accesses               |      51925 |      23244 |      23439 |      23201
    num cache misses                 |      38662 |      20638 |      20745 |      20655
    miss rate                        |     74.46% |     88.79% |     88.51% |     89.03%
    mpki                             |       3.34 |       5.87 |       6.62 |       5.79
  Cache L3                           |            |            |            |           
    num cache accesses               |      40983 |      20654 |      20749 |      20671
    num cache misses                 |      17629 |       1061 |       1057 |       1111
    miss rate                        |     43.02% |      5.14% |      5.09% |      5.37%
    mpki                             |       1.52 |       0.30 |       0.34 |       0.31
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20801 |          0 |          0 |          0
  average dram access latency (ns)   |      61.35 |        inf |        inf |        inf
  average dram queueing delay        |       0.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10814 |        504 |        466 |        567
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
