                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   24514026 |    6497717 |    6571223 |    6842321 |    6586102 |    6701123 |    5883403 |    6157866
  Cycles                             |   17704800 |   17704800 |   17704800 |   17704800 |   17704800 |   17704800 |   17704800 |   17704800
  IPC                                |       1.38 |       0.37 |       0.37 |       0.39 |       0.37 |       0.38 |       0.33 |       0.35
  Time (ns)                          |    4426200 |    4426200 |    4426200 |    4426200 |    4426200 |    4426200 |    4426200 |    4426200
  Idle time (ns)                     |       2567 |    3470261 |    3470626 |    3470772 |    3470783 |    3470800 |    3470880 |    3470910
  Idle time (%)                      |       0.1% |      78.4% |      78.4% |      78.4% |      78.4% |      78.4% |      78.4% |      78.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2891013 |    1955997 |    1991996 |    2114312 |    1994046 |    2045100 |    1675724 |    1796666
  num incorrect                      |     169988 |      15894 |      14840 |      11193 |      14930 |      13642 |      25136 |      21203
  misprediction rate                 |      5.55% |      0.81% |      0.74% |      0.53% |      0.74% |      0.66% |      1.48% |      1.17%
  mpki                               |       6.93 |       2.45 |       2.26 |       1.64 |       2.27 |       2.04 |       4.27 |       3.44
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    3166963 |      92016 |      87977 |      72360 |      87634 |      83355 |     135157 |     113169
    num misses                       |        169 |         24 |         24 |         23 |         24 |         24 |         24 |         24
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5698337 |    1309376 |    1315162 |    1342596 |    1318649 |    1331236 |    1247466 |    1277746
    num misses                       |       5432 |       3927 |       3971 |       3924 |       3998 |       3958 |       3925 |       3874
    miss rate                        |      0.10% |      0.30% |      0.30% |      0.29% |      0.30% |      0.30% |      0.31% |      0.30%
    mpki                             |       0.22 |       0.60 |       0.60 |       0.57 |       0.61 |       0.59 |       0.67 |       0.63
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       5601 |       3951 |       3995 |       3947 |       4022 |       3982 |       3949 |       3898
    num misses                       |        816 |        290 |        291 |        278 |        290 |        272 |        275 |        273
    miss rate                        |     14.57% |      7.34% |      7.28% |      7.04% |      7.21% |      6.83% |      6.96% |      7.00%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3166963 |      92016 |      87977 |      72360 |      87634 |      83355 |     135157 |     113169
    num cache misses                 |       3142 |        157 |        158 |        154 |        157 |        156 |        156 |        155
    miss rate                        |      0.10% |      0.17% |      0.18% |      0.21% |      0.18% |      0.19% |      0.12% |      0.14%
    mpki                             |       0.13 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5698337 |    1309376 |    1315162 |    1342596 |    1318649 |    1331236 |    1247466 |    1277746
    num cache misses                 |      63487 |      28542 |      28446 |      28027 |      28535 |      28271 |      30171 |      28873
    miss rate                        |      1.11% |      2.18% |      2.16% |      2.09% |      2.16% |      2.12% |      2.42% |      2.26%
    mpki                             |       2.59 |       4.39 |       4.33 |       4.10 |       4.33 |       4.22 |       5.13 |       4.69
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      69316 |      29227 |      29095 |      28590 |      29732 |      29443 |      31564 |      30210
    num cache misses                 |      50015 |      25756 |      25661 |      25362 |      25760 |      25588 |      26053 |      25937
    miss rate                        |     72.16% |     88.12% |     88.20% |     88.71% |     86.64% |     86.91% |     82.54% |     85.86%
    mpki                             |       2.04 |       3.96 |       3.91 |       3.71 |       3.91 |       3.82 |       4.43 |       4.21
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      54596 |      26292 |      26161 |      25790 |      26817 |      26618 |      27306 |      27135
    num cache misses                 |      38581 |      14355 |      14339 |      14115 |      16304 |      16106 |      16449 |      16360
    miss rate                        |     70.67% |     54.60% |     54.81% |     54.73% |     60.80% |     60.51% |     60.24% |     60.29%
    mpki                             |       1.57 |       2.21 |       2.18 |       2.06 |       2.48 |       2.40 |       2.80 |       2.66
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      18200 |          0 |          0 |          0 |      18150 |          0 |          0 |          0
  average dram access latency (ns)   |      72.55 |        inf |        inf |        inf |      72.47 |        inf |        inf |        inf
  average dram queueing delay        |      11.30 |       0.00 |       0.00 |       0.00 |      11.22 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10743 |        510 |        438 |        475 |        416 |        397 |        426 |        370
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4047 |       4150 |       4203 |       4100 |       5447 |       5340 |       5518 |       5448
