                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  167933557 |  169343938 |  171872390 |  172101120
  Cycles                             |   61421600 |   61421600 |   61421600 |   61421600
  IPC                                |       2.73 |       2.76 |       2.80 |       2.80
  Time (ns)                          |   15355400 |   15355400 |   15355400 |   15355400
  Idle time (ns)                     |        392 |     250275 |     251117 |     251678
  Idle time (%)                      |       0.0% |       1.6% |       1.6% |       1.6%
Branch predictor stats               |            |            |            |           
  num correct                        |     997767 |    1702697 |   20649457 |   20725943
  num incorrect                      |      14395 |       7032 |       5289 |       5170
  misprediction rate                 |      1.42% |      0.41% |      0.03% |      0.02%
  mpki                               |       0.09 |       0.04 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   15905446 |   15734467 |   10542634 |   10542635
    num misses                       |        241 |         38 |         38 |         38
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   77310796 |   77172896 |   61420711 |   61458615
    num misses                       |       4456 |       3715 |       7106 |       8648
    miss rate                        |      0.01% |      0.00% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.02 |       0.04 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |       4697 |       3753 |       7144 |       8686
    num misses                       |        531 |        156 |        134 |        139
    miss rate                        |     11.31% |      4.16% |      1.88% |      1.60%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   15905446 |   15734467 |   10542634 |   10542635
    num cache misses                 |      76358 |      56815 |      56357 |      56297
    miss rate                        |      0.48% |      0.36% |      0.53% |      0.53%
    mpki                             |       0.45 |       0.34 |       0.33 |       0.33
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   77310796 |   77172896 |   61420711 |   61458615
    num cache misses                 |    1118503 |    1104895 |     757411 |     748834
    miss rate                        |      1.45% |      1.43% |      1.23% |      1.22%
    mpki                             |       6.66 |       6.52 |       4.41 |       4.35
  Cache L2                           |            |            |            |           
    num cache accesses               |    1212642 |    1180632 |     827905 |     820182
    num cache misses                 |      77686 |      62967 |      45418 |      48265
    miss rate                        |      6.41% |      5.33% |      5.49% |      5.88%
    mpki                             |       0.46 |       0.37 |       0.26 |       0.28
  Cache L3                           |            |            |            |           
    num cache accesses               |     111675 |     109081 |      92004 |      83424
    num cache misses                 |      12885 |       1597 |       1757 |       1804
    miss rate                        |     11.54% |      1.46% |      1.91% |      2.16%
    mpki                             |       0.08 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |      17753 |          0 |          0 |          0
  average dram access latency (ns)   |     126.16 |        inf |        inf |        inf
  average dram queueing delay        |      64.91 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6832 |         40 |         42 |         46
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
