                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   24908729 |    7229541 |    7399372 |    7307282 |    8404962 |    7772834
  Cycles                             |   16149200 |   16149200 |   16149200 |   16149200 |   16149200 |   16149200
  IPC                                |       1.54 |       0.45 |       0.46 |       0.45 |       0.52 |       0.48
  Time (ns)                          |   16149200 |   16149200 |   16149200 |   16149200 |   16149200 |   16149200
  Idle time (ns)                     |       2259 |   12398534 |   12216170 |   12250288 |   12216781 |   12218066
  Idle time (%)                      |       0.0% |      76.8% |      75.6% |      75.9% |      75.6% |      75.7%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2921997 |    2195056 |    2213182 |    2191720 |    2500314 |    2208181
  num incorrect                      |     179513 |      13580 |      18263 |      17246 |      23687 |      33532
  misprediction rate                 |      5.79% |      0.61% |      0.82% |      0.78% |      0.94% |      1.50%
  mpki                               |       7.21 |       1.88 |       2.47 |       2.36 |       2.82 |       4.31
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    3214454 |      93047 |     113573 |     106233 |     132259 |     167525
    num misses                       |        173 |         24 |         26 |         24 |         24 |         24
    miss rate                        |      0.01% |      0.03% |      0.02% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5856832 |    1469543 |    1520895 |    1498248 |    1715901 |    1653585
    num misses                       |       6787 |       5234 |       5241 |       5441 |       5335 |       5232
    miss rate                        |      0.12% |      0.36% |      0.34% |      0.36% |      0.31% |      0.32%
    mpki                             |       0.27 |       0.72 |       0.71 |       0.74 |       0.63 |       0.67
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       6960 |       5258 |       5267 |       5465 |       5359 |       5256
    num misses                       |        844 |        310 |        304 |        305 |        307 |        307
    miss rate                        |     12.13% |      5.90% |      5.77% |      5.58% |      5.73% |      5.84%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    3214454 |      93047 |     113573 |     106233 |     132259 |     167525
    num cache misses                 |       3621 |        195 |        217 |        202 |        201 |        219
    miss rate                        |      0.11% |      0.21% |      0.19% |      0.19% |      0.15% |      0.13%
    mpki                             |       0.15 |       0.03 |       0.03 |       0.03 |       0.02 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5856832 |    1469543 |    1520895 |    1498248 |    1715901 |    1653585
    num cache misses                 |      71603 |      35609 |      36030 |      35258 |      34845 |      36507
    miss rate                        |      1.22% |      2.42% |      2.37% |      2.35% |      2.03% |      2.21%
    mpki                             |       2.87 |       4.93 |       4.87 |       4.83 |       4.15 |       4.70
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      77638 |      36070 |      36562 |      35715 |      36912 |      38880
    num cache misses                 |      61587 |      31966 |      32217 |      31482 |      30793 |      31325
    miss rate                        |     79.33% |     88.62% |     88.12% |     88.15% |     83.42% |     80.57%
    mpki                             |       2.47 |       4.42 |       4.35 |       4.31 |       3.66 |       4.03
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      64578 |      32236 |      32553 |      31773 |      32681 |      33501
    num cache misses                 |      34978 |      11648 |      11661 |      11208 |      23719 |      23880
    miss rate                        |     54.16% |     36.13% |     35.82% |     35.28% |     72.58% |     71.28%
    mpki                             |       1.40 |       1.61 |       1.58 |       1.53 |       2.82 |       3.07
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      18093 |          0 |          0 |          0 |      18032 |          0
  average dram access latency (ns)   |      61.31 |        inf |        inf |        inf |      61.31 |        inf
  average dram queueing delay        |       0.06 |       0.00 |       0.00 |       0.00 |       0.06 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10942 |        791 |        755 |        729 |        409 |        391
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3550 |       3504 |       3472 |       3299 |       6219 |       6406
