,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,cpi_l3_ratio,cpi_dram_local_ratio,cpi_dram_remote_ratio,cpi_branch_ratio,cpi_sync_ratio,uop_load_ratio,uop_store_ratio,uop_fp_ratio,dtlb_miss_rate,branch_mispredict_rate,avg_dram_latency,dram_queue_ratio,l1d_hit_ratio,futex_wake_per_minst,mem_bw_mbps,operational_intensity,itlb_miss_rate,stlb_miss_rate,load_l1_ratio,Packed,Scatter,HPO,EPO
BC,0.22465335993281474,0.6229081712069892,0.35689763871988495,0.5044463818657368,0.4955536181342633,0.00030124368508800583,0.0006122128053402743,0.00025526485431142336,0.9955683479532164,0.00040171555425743587,0.00847935512382017,0.008974461127591603,0.15967990789379116,0.7181236514594843,0.15534412475785087,0.022208573194477766,3.8999698298333966e-08,0.0004108393010699403,0.01077993774184274,61354379.55233812,0.08244717342923007,0.9901931980253021,3.0853,188.2116690306308,1.434078289201964e-06,0.00022001740180832446,0.4811994288434079,0.8288844759357553,0.0074098,0.0073441,0.0074212,0.0072411
BFS,0.222341384851419,0.624114747776054,0.35605286622316235,0.5032303125545661,0.4967696874454339,0.0002955696902579736,0.0006067941301770151,0.0002550633038661063,0.9950377856687608,0.0004503028116207303,0.008401697340101167,0.008944200381833443,0.1618555101794695,0.7210133420833703,0.15533171398469267,0.02220577091586466,3.902421054217194e-08,0.00031514068458540913,0.010897124275919892,61376656.391773805,0.10025126818129701,0.9902555506643874,3.0879,186.80869765766653,1.4297479068490643e-06,0.0002696277381234929,0.6098144823459006,0.829480876314719,0.0074881,0.0074348,0.0074947,0.0073276
BT,1.2832905533116141,0.6763147113427067,0.26720809159098147,0.4986114968064427,0.5013885031935573,0.002140278815089089,8.675753987470317e-05,9.733884846436607e-06,0.9991050564311639,2.2673485226684297e-05,0.0001748900161437056,0.00022834589334199226,0.003049359367982142,1.657068074274394e-06,0.23740062121533234,0.12067316507742265,0.15167943507929432,0.00011469971839485055,0.0007072697044831625,62385344.02214481,0.9064145571081123,0.9892563767775941,14.7039,54.73565006500624,169.362983640209,1.2354542993440683e-05,0.05751501814072444,0.8747670140581014,0.0234962,0.0230396,0.023431,0.0238537
CC,0.2185444543634519,0.6246741269623135,0.3570873775235698,0.5020443671161374,0.4979556328838626,0.00029809068896384424,0.0006124751469525153,0.00025798467622642593,0.9951991221251886,0.00041274107831165024,0.008469427435050537,0.009029234933001451,0.16489006078550425,0.7243919566278211,0.15545331654285566,0.022361291912241302,3.933547281592344e-08,0.0003346436150629023,0.011123939642692246,61366715.68593219,0.0923064576430906,0.9901757590853588,3.0898,184.46268323297528,1.4357254433520169e-06,0.00024272141808923952,0.5879310344827586,0.829468279463606,0.0075517,0.0074766,0.0075531,0.0073879
CG,1.0773070453408866,0.7110179796261359,0.24794080100105434,0.5012853470437018,0.4987146529562982,0.023436741398258906,0.0019370802297228858,1.923886140538558e-05,0.9972567824434077,0.00018636034005786817,0.0002847049250055068,0.00037219099653433075,0.05878930324690234,0.011635337359343354,0.3025480944091599,0.015661180940487372,0.08701004377708935,8.456662286711023e-05,0.004538460301165377,189063753.08811107,102.15032775060426,0.9242948420982281,72.9582,209.33447611334267,23.95778654237692,4.2148758257940855e-05,0.21999305193677263,0.773425405569485,0.0141152,0.0139215,0.0141376,0.0140556
FT,1.474270450935304,0.6716152678396732,0.269340463095222,0.5002468599709121,0.49975314002908783,0.013991141213757172,0.0006634824864950436,0.0007698120902981479,0.5690698767790304,0.0010335693298112122,0.017533907910902088,0.032189819551568216,0.025474037751285778,1.1791402816959009e-06,0.16276069418010414,0.13060025518277266,0.1002462464827775,0.000839437678475304,0.004016487678794229,738872155.6739223,287.0947288125314,0.9073026646081217,1.3775,6116.026824457595,1.46663487569925,7.970467969575334e-06,0.1859404238555274,0.530977120127078,0.0240825,0.0237508,0.0241561,0.0256186
IS,0.4663651761124585,0.6887650586478227,0.2599767161750852,0.5030502111684655,0.4969497888315345,0.0029904202732954277,0.0009752820741312223,0.00013539583713183286,0.9978881790824138,0.000457271586498684,0.0009620579132255507,0.0012801755199640759,0.007328776267368371,6.061303094896224e-06,0.23209879017991572,0.0991757123657888,0.06539291900134722,0.00324268804690601,0.0024193327589766217,166151305.00714248,83.8382418816375,0.9753616416781566,12.8372,290.5122601407335,4.339465339135495,0.00010971924228420755,0.053695009563554164,0.6656539870462342,0.0041639,0.0041424,0.0041561,0.0042181
MG,0.8339593981047436,0.6450548049411331,0.28703600733468615,0.5004847309743092,0.49951526902569077,0.005742929281855548,0.00017566032337546002,0.00013007438877371644,0.9975021987686895,0.00029231569025230006,0.002759230569213608,0.0032646968298486365,0.01948702356793025,1.2047495790772495e-05,0.26474052486734845,0.044920076399985485,0.017975527725078905,0.00026194413428876984,0.0024106928390122346,222481005.73693305,128.8580631199414,0.9760027504700726,189.2371,599.4503171247358,3.3969446550751217,0.00013527214922224882,0.34421543553482775,0.8307133754884974,0.0030272,0.002941,0.003023,0.0031567
PR,0.2230210137047197,0.6232753099011902,0.35857986485634935,0.5010027029383556,0.4989972970616444,0.0003000021142963579,0.0006192474544296498,0.00025633049607874013,0.9957130478405619,0.0004041496876500271,0.008414827067969366,0.009082897265932257,0.16067445439302883,0.7192813614985248,0.15542421016571484,0.022315775315170313,3.916886488864566e-08,0.00041229830730599214,0.010882752200679432,61353838.370585814,0.08201465017008237,0.9901533414625705,3.0756,188.29165565062814,1.4313195621307196e-06,0.00025059069736042665,0.48477640342530925,0.8294611802399389,0.0074209,0.0073495,0.0074214,0.0072525
SP,0.9847906203657918,0.6615665533759401,0.2830915790024139,0.501704158145876,0.49829584185412407,0.007285110100213574,0.00031589332677788294,1.9568920087797675e-05,0.9991151266766021,5.463192104908429e-05,0.00029913851118765564,0.00038103471915423636,0.010876254351781632,2.144450093721189e-06,0.21665771251107988,0.077783391496357,0.09587508928814609,0.00030267481904234155,0.0018297525992060906,62122316.44338787,0.6961976657884874,0.9609998577081614,81.3872,90.23284547288728,59.74054400899641,2.6551660225970138e-05,0.05810437754699619,0.7363396470784457,0.0152161,0.0145481,0.0151605,0.0156793
