                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   24203299 |    6352602 |    6480939 |    6502474 |    6173676 |    6428323 |    6442008 |    6255819 |    7021446 |    6927525 |    6209614 |    7054813
  Cycles                             |   62668400 |   62668400 |   62668400 |   62668400 |   15667100 |   15667100 |   15667100 |   15667100 |   62668400 |   62668400 |   62668400 |   62668400
  IPC                                |       0.39 |       0.10 |       0.10 |       0.10 |       0.39 |       0.41 |       0.41 |       0.40 |       0.11 |       0.11 |       0.10 |       0.11
  Time (ns)                          |   15667100 |   15667100 |   15667100 |   15667100 |   15667100 |   15667100 |   15667100 |   15667100 |   15667100 |   15667100 |   15667100 |   15667100
  Idle time (ns)                     |       2510 |   12728343 |   12788131 |   12768754 |   12668999 |   12693641 |   12690889 |   12669602 |   12729844 |   12730397 |   12731747 |   12731155
  Idle time (%)                      |       0.0% |      81.2% |      81.6% |      81.5% |      80.9% |      81.0% |      81.0% |      80.9% |      81.3% |      81.3% |      81.3% |      81.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2826880 |    1967751 |    2052745 |    2056321 |    1907147 |    2035873 |    2039431 |    1946499 |    2194099 |    2149200 |    1828106 |    2208127
  num incorrect                      |     167827 |      11622 |       6850 |       7428 |      11762 |       6996 |       6943 |      10755 |      11421 |      12959 |      22842 |      11030
  misprediction rate                 |      5.60% |      0.59% |      0.33% |      0.36% |      0.61% |      0.34% |      0.34% |      0.55% |      0.52% |      0.60% |      1.23% |      0.50%
  mpki                               |       6.93 |       1.83 |       1.06 |       1.14 |       1.91 |       1.09 |       1.08 |       1.72 |       1.63 |       1.87 |       3.68 |       1.56
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3150874 |      67084 |      45486 |      48332 |      66162 |      44765 |      45695 |      61586 |      62904 |      69390 |     108459 |      63738
    num misses                       |        177 |         24 |         24 |         24 |         24 |         24 |         26 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.01% |      0.04% |      0.05% |      0.05% |      0.04% |      0.05% |      0.06% |      0.04% |      0.04% |      0.03% |      0.02% |      0.04%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5591778 |    1215007 |    1213169 |    1218496 |    1187261 |    1203143 |    1205669 |    1193496 |    1325586 |    1316717 |    1243445 |    1327916
    num misses                       |       4182 |       2690 |       2668 |       2758 |       2712 |       2654 |       2732 |       2816 |       2749 |       2661 |       2678 |       2668
    miss rate                        |      0.07% |      0.22% |      0.22% |      0.23% |      0.23% |      0.22% |      0.23% |      0.24% |      0.21% |      0.20% |      0.22% |      0.20%
    mpki                             |       0.17 |       0.42 |       0.41 |       0.42 |       0.44 |       0.41 |       0.42 |       0.45 |       0.39 |       0.38 |       0.43 |       0.38
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4359 |       2714 |       2692 |       2782 |       2736 |       2678 |       2758 |       2840 |       2773 |       2685 |       2702 |       2692
    num misses                       |        830 |        289 |        294 |        286 |        265 |        261 |        267 |        263 |        264 |        261 |        264 |        264
    miss rate                        |     19.04% |     10.65% |     10.92% |     10.28% |      9.69% |      9.75% |      9.68% |      9.26% |      9.52% |      9.72% |      9.77% |      9.81%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3150874 |      67084 |      45486 |      48332 |      66162 |      44765 |      45695 |      61586 |      62904 |      69390 |     108459 |      63738
    num cache misses                 |       3088 |        155 |        155 |        155 |        158 |        158 |        169 |        157 |        154 |        154 |        155 |        155
    miss rate                        |      0.10% |      0.23% |      0.34% |      0.32% |      0.24% |      0.35% |      0.37% |      0.25% |      0.24% |      0.22% |      0.14% |      0.24%
    mpki                             |       0.13 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5591778 |    1215007 |    1213169 |    1218496 |    1187261 |    1203143 |    1205669 |    1193496 |    1325586 |    1316717 |    1243445 |    1327916
    num cache misses                 |      55620 |      19727 |      19472 |      19423 |      19916 |      19294 |      19449 |      19715 |      19518 |      19459 |      21057 |      19365
    miss rate                        |      0.99% |      1.62% |      1.61% |      1.59% |      1.68% |      1.60% |      1.61% |      1.65% |      1.47% |      1.48% |      1.69% |      1.46%
    mpki                             |       2.30 |       3.11 |       3.00 |       2.99 |       3.23 |       3.00 |       3.02 |       3.15 |       2.78 |       2.81 |       3.39 |       2.74
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      61059 |      20027 |      19752 |      19697 |      20252 |      19573 |      19729 |      20015 |      20569 |      20618 |      22516 |      20434
    num cache misses                 |      42583 |      17928 |      17767 |      17726 |      18085 |      17633 |      17786 |      17951 |      17710 |      17682 |      18178 |      17616
    miss rate                        |     69.74% |     89.52% |     89.95% |     89.99% |     89.30% |     90.09% |     90.15% |     89.69% |     86.10% |     85.76% |     80.73% |     86.21%
    mpki                             |       1.76 |       2.82 |       2.74 |       2.73 |       2.93 |       2.74 |       2.76 |       2.87 |       2.52 |       2.55 |       2.93 |       2.50
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      47907 |      18078 |      17896 |      17846 |      18263 |      17762 |      17912 |      18106 |      18616 |      18698 |      19492 |      18536
    num cache misses                 |      29468 |       6420 |       6148 |       5965 |       6085 |       5866 |       6107 |       6168 |      12275 |      12379 |      12785 |      12256
    miss rate                        |     61.51% |     35.51% |     34.35% |     33.42% |     33.32% |     33.03% |     34.09% |     34.07% |     65.94% |     66.20% |     65.59% |     66.12%
    mpki                             |       1.22 |       1.01 |       0.95 |       0.92 |       0.99 |       0.91 |       0.95 |       0.99 |       1.75 |       1.79 |       2.06 |       1.74
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      18470 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      18407 |          0 |          0 |          0
  average dram access latency (ns)   |      61.40 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.40 |        inf |        inf |        inf
  average dram queueing delay        |       0.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.14 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10677 |        446 |        422 |        432 |        412 |        373 |        410 |        452 |        286 |        239 |        274 |        259
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2146 |       2011 |       1932 |       1898 |       2026 |       1963 |       1998 |       1985 |       3578 |       3722 |       4063 |       3612
