                                     | Core 0     | Core 1    
  Instructions                       |     352830 |          0
  Cycles                             |     378100 |     378100
  IPC                                |       0.93 |       0.00
  Time (ns)                          |     378100 |     378100
  Idle time (ns)                     |        110 |     378100
  Idle time (%)                      |       0.0% |     100.0%
Branch predictor stats               |            |           
  num correct                        |      52521 |          0
  num incorrect                      |       3465 |          0
  misprediction rate                 |      6.19% |      0.00%
  mpki                               |       9.82 |       0.00
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      41897 |          0
    num misses                       |         94 |          0
    miss rate                        |      0.22% |      0.00%
    mpki                             |       0.27 |       0.00
  D-TLB                              |            |           
    num accesses                     |     148370 |          0
    num misses                       |        540 |          0
    miss rate                        |      0.36% |      0.00%
    mpki                             |       1.53 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        634 |          0
    num misses                       |        291 |          0
    miss rate                        |     45.90% |      0.00%
    mpki                             |       0.82 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      41897 |          0
    num cache misses                 |       1279 |          0
    miss rate                        |      3.05% |       inf%
    mpki                             |       3.62 |        inf
  Cache L1-D                         |            |           
    num cache accesses               |     148370 |          0
    num cache misses                 |       9432 |          0
    miss rate                        |      6.36% |       inf%
    mpki                             |      26.73 |        inf
  Cache L2                           |            |           
    num cache accesses               |      12588 |          0
    num cache misses                 |       9209 |          0
    miss rate                        |     73.16% |       inf%
    mpki                             |      26.10 |        inf
  Cache L3                           |            |           
    num cache accesses               |      11093 |          0
    num cache misses                 |       8785 |          0
    miss rate                        |     79.19% |       inf%
    mpki                             |      24.90 |        inf
DRAM summary                         |            |           
  num dram accesses                  |       8785 |          0
  average dram access latency (ns)   |      61.39 |        inf
  average dram queueing delay        |       0.14 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6151 |          0
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
